placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,error
https://www.google.com/maps/place/Instituto+Recupera%C3%A7%C3%A3o+Vascular+Lda.+IRV/data=!4m7!3m6!1s0xd1933776551e04f:0x8fdac1a5ef3770fa!8m2!3d38.7233374!4d-9.1494287!16s%2Fg%2F1tj2d80v!19sChIJT-BRZXczGQ0R-nA376XB2o8,Instituto Recuperação Vascular Lda. IRV,4.4,22,Specialized clinic,"Av. da Liberdade 245 2º, 1250-143 Lisboa, Portugal","PVF2+86 Lisbon, Portugal",http://www.irv.pt/,+351 21 352 0212,Closed · Opens 10 am Wed,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2dNgi_PJKp6NcwMUM51tpw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.547478&pitch=0&thumbfov=100,true,10 am–7:30 pm,10 am–7:30 pm,10 am–7:30 pm,10 am–7:30 pm,Closed,Closed,10 am–7:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:57:52.301Z,,
"https://www.google.com/maps/place/EAV-L,+Estudos+Art%C3%A9rio+Veno-Linf%C3%A1ticos/data=!4m7!3m6!1s0xd19332459138e1f:0x218d0cdf878b9575!8m2!3d38.744524!4d-9.1751346!16s%2Fg%2F11fy_5yhzc!19sChIJH44TWSQzGQ0RdZWLh98MjSE","EAV-L, Estudos Artério Veno-Linfáticos",4.7,22,Vascular surgeon,"R. Raquel Roque Gameiro 16-A R/C-E, 1500-133 Lisboa, Portugal","PRVF+RW Lisbon, Portugal",http://www.eavl.pt/,+351 21 771 2050,Closed · Opens 2 pm Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SX1puJPLccCeN6NLlbAPbQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=250.53116&pitch=0&thumbfov=100,true,2–6 pm,2–6 pm,2–6 pm,2–6 pm,9 am–3 pm,Closed,2–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:57:58.514Z,,
https://www.google.com/maps/place/Avenue+Clinic/data=!4m7!3m6!1s0xd193341e8699f25:0xbae542e87249eb7f!8m2!3d38.7208613!4d-9.1451397!16s%2Fg%2F11jn2yvjgc!19sChIJJZ9p6EEzGQ0Rf-tJcuhC5bo,Avenue Clinic,4.7,151,Medical clinic,"R. Manuel Jesus de Coelho 4 7º Andar, 1150-228 Lisboa, Portugal","PVC3+8W Lisbon, Portugal",https://avenue.clinic/,+351 919 992 774,Closed · Opens 10 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNMK33nOg1zk0oy7kZP_DTguWcuaOPu7E_6yUGw=w408-h272-k-no,true,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,11 am–8 pm,Closed,10 am–8 pm,"https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:58:04.005Z,,
"https://www.google.com/maps/place/Instituto+Privado+de+Angiologia+-+Inspriangio,+Lda/data=!4m7!3m6!1s0xd19337783510789:0xa2bdbde7ddcc5ad3!8m2!3d38.720694!4d-9.1569364!16s%2Fg%2F11cjgd7f9f!19sChIJiQdRg3czGQ0R01rM3ee9vaI","Instituto Privado de Angiologia - Inspriangio, Lda",4.3,10,Doctor,"Rua Dom João V 6, 1250-089 Lisboa, Portugal","PRCV+76 Lisbon, Portugal",,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m7IcgmECqN8psWFMN5Qq7A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=347.2842&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:58:06.750Z,,
"https://www.google.com/maps/place/C.+A.+C.+V.,+Consult%C3%B3rio+de+Angiologia+e+Cirurgia+Vascular,+Lda/data=!4m7!3m6!1s0xd19330a459aecf3:0x3b6bc71eeb5ad55e!8m2!3d38.7362123!4d-9.1473829!16s%2Fg%2F11cs6kwhlv!19sChIJ8-yaRQozGQ0RXtVa6x7Hazs","C. A. C. V., Consultório de Angiologia e Cirurgia Vascular, Lda",3.9,27,Local medical services,"52, Direito 057, Avenida 5 de Outubro 52 2ª Dto, 1050-057 Lisboa, Portugal","PVP3+F2 Lisbon, Portugal",http://www.cacv.pt/,+351 21 386 6384,Closed · Opens 10 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sOEovYVTSQBQjNmju2uTBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=84.25578&pitch=0&thumbfov=100,false,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,Closed,Closed,10 am–7 pm,"https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:58:12.162Z,,
https://www.google.com/maps/place/Cl%C3%ADnica+Liberty/data=!4m7!3m6!1s0xd1933820f9812d5:0x98889b1e8adcb794!8m2!3d38.7188517!4d-9.1449492!16s%2Fg%2F11dz54_wj2!19sChIJ1RKYD4IzGQ0RlLfcih6biJg,Clínica Liberty,4.7,88,Medical clinic,"Av. da Liberdade 129 4. D, 1250-140 Lisboa, Portugal","PV94+G2 Lisbon, Portugal",https://clinicaliberty.pt/,+351 21 342 0680,Closed · Opens 10 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM1Ht0wqos-69cyrur1xao4pUoz5p-6b_taMqvZ=w408-h281-k-no,true,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,Closed,Closed,10 am–8 pm,"https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:58:17.215Z,,
https://www.google.com/maps/place/CLIVIP+-+Cl%C3%ADnica+M%C3%A9dica/data=!4m7!3m6!1s0xd19336f56451c47:0x5202fca04113bed8!8m2!3d38.7227116!4d-9.1628336!16s%2Fg%2F1td3sr_h!19sChIJRxxFVm8zGQ0R2L4TQaD8AlI,CLIVIP - Clínica Médica,4.7,40,Medical clinic,"R. Tierno Galvan Torre 3 Piso 6, Sala 606, 1070-274 Lisboa, Portugal","PRFP+3V Lisbon, Portugal",http://www.clivip.pt/,+351 21 387 3782,Closed · Opens 10 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMkB3P-YvZkUeG817KrydLFBSFNxTAAcNzczCUj=w408-h375-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,Closed,Closed,10 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:58:23.327Z,,
"https://www.google.com/maps/place/Centro+Medico+Renascimento-medicina+E+Cirurgia+Estetica,+S.a/data=!4m7!3m6!1s0xd19337a39f43f37:0xc640e53d8844bb48!8m2!3d38.720771!4d-9.152222!16s%2Fg%2F1tmxgtq4!19sChIJNz_0OXozGQ0RSLtEiD3lQMY","Centro Medico Renascimento-medicina E Cirurgia Estetica, S.a",,,Medical clinic,"R. do Vale de Pereiro 17, 1250-096 Lisboa, Portugal","PRCX+84 Lisbon, Portugal",,+351 21 385 9113,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw5mMdUIQC1USifLPAV2uC8pMeXWjg3caB0zhyA5hh27DuQ7fXWPN3aN6Q3qAKqFSIwllfKp-NQseu5dHKE3wm-XKXMbRyBNJi8Im17N69s19TVAzpuqFsyslycbhSRmmFF5RZ-=w408-h558-k-no,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:58:26.348Z,,
https://www.google.com/maps/place/MediCapilar+Transplantes+Avan%C3%A7ados/data=!4m7!3m6!1s0xd1933734f5c9085:0xd49e92ce2b6c3851!8m2!3d38.7325088!4d-9.1521203!16s%2Fg%2F11gfhyr3_m!19sChIJhZBcT3MzGQ0RUThsK86SntQ,MediCapilar Transplantes Avançados,4.6,531,Hair transplantation clinic,"Av. António Augusto de Aguiar 106B, 1050-010 Lisboa, Portugal","PRMX+25 Lisbon, Portugal",https://www.medicapilar.pt/marcacao,+351 21 796 8826,"Closed · Opens 10 am Wed

Updated by this business 10 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOTVE9qjj7Spb2TEQAR4iXnJp0497OZbCzaPF16=w408-h271-k-no,true,"10 am–1 pm, 2–7 pm","10 am–1 pm, 2–7 pm","10 am–1 pm, 2–7 pm","10 am–1 pm, 2–7 pm",9 am–6 pm,Closed,"10 am–1 pm, 2–7 pm","https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:58:31.467Z,,
https://www.google.com/maps/place/MyMoment+-+Cl%C3%ADnica+M%C3%A9dica+e+Est%C3%A9tica/data=!4m7!3m6!1s0xd19318c7b8cdded:0x5a54c5b47f2cbeed!8m2!3d38.7338021!4d-9.1509009!16s%2Fg%2F1vvyzbl2!19sChIJ7d2Me4wxGQ0R7b4sf7TFVFo,MyMoment - Clínica Médica e Estética,4.6,184,Plastic surgery clinic,"R. Dr. António Cândido 8A, 1050-076 Lisboa, Portugal","PRMX+GJ Lisbon, Portugal",http://www.mymoment.pt/,+351 21 894 9494,Closed · Opens 9 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPBnJCrbBefY45FZfBvYEazULBOe1AGQOGi7Z0l=w408-h272-k-no,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–1 pm,Closed,9 am–8 pm,"https://www.google.com/maps/search/vein+clinics+in+Lisbon+Cedar+Rapids+IA/@38.7222524,-9.1393366,14z",2025-12-16T21:58:36.279Z,,
