placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,isBlackOwned,error
https://www.google.com/maps/place/Vein+Clinic+Chicago+and+Best+Vein+Doctor+by+VeinsWithoutSurgery/data=!4m7!3m6!1s0x880fd2906b0b9de5:0x6a6c1f8f85f7efff!8m2!3d41.924613!4d-87.6867234!16s%2Fg%2F1hc4kmk07!19sChIJ5Z0La5DSD4gR_-_3hY8fbGo,Vein Clinic Chicago and Best Vein Doctor by VeinsWithoutSurgery,4.3,12,Medical clinic,"2335 W Fullerton Ave, Chicago, IL 60647, United States","W8F7+R8 Chicago, Illinois, USA",https://www.veinswithoutsurgery.com/vein-clinic/varicose-vein-treatment-with-the-best-specialist,+1 630-369-6644,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOOHaryGuCG7xQlgHfmosT6hWpVhBAz5beAoYQ7=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:06.809Z,,
https://www.google.com/maps/place/USA+Vein+Clinics+-+Downtown+Chicago/data=!4m7!3m6!1s0x880e2cbd5637b581:0xfc2a2247bf223aab!8m2!3d41.8753962!4d-87.6289268!16s%2Fg%2F11d_tgmr2h!19sChIJgbU3Vr0sDogRqzoiv0ciKvw,USA Vein Clinics - Downtown Chicago,4.3,32,Medical clinic,"41 W Ida B. Wells Dr Ste 200, Chicago, IL 60605, United States","V9GC+5C Chicago, Illinois, USA",https://www.usaveinclinics.com/company/locations/illinois/office/chicago-west-ida-b-wells-drive/,+1 312-614-1170,,,https://lh3.googleusercontent.com/p/AF1QipOvnh4VQ6gfXkhheGjZ9vrkBxWDDvQ5sbmC0n0n=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:11.454Z,,
https://www.google.com/maps/place/United+Vein+%26+Vascular+Centers/data=!4m7!3m6!1s0x880fd3b3b39b6e63:0x8cc6c40f1a5e8501!8m2!3d41.9081967!4d-87.6483798!16s%2Fg%2F11n0nsrfv0!19sChIJY26bs7PTD4gRAYVeGg_Exow,United Vein & Vascular Centers,4.8,29,Medical clinic,"1460 N Halsted St #503, Chicago, IL 60642, United States","W952+7J Chicago, Illinois, USA",https://unitedveincenters.com/find-a-clinic/illinois/lincoln-park/?utm_campaign=directory,+1 773-974-6732,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipOnWklZxeYXdK_N8LybpceKw5Dvo8wK8pYnEkiO=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:16.313Z,,
https://www.google.com/maps/place/Chicago+Vein+Institute/data=!4m7!3m6!1s0x880fd2049dd73617:0x487e09471cdfc886!8m2!3d41.9538342!4d-87.6875725!16s%2Fg%2F1v_s6gwp!19sChIJFzbXnQTSD4gRhsjfHEcJfkg,Chicago Vein Institute,4.9,397,Medical clinic,"2333 W Irving Park Rd, Chicago, IL 60618, United States","X836+GX Chicago, Illinois, USA",https://chicagoveininstitute.com/,+1 773-231-9884,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzK0e2GRRWyxu0_ycKiavrpBuOxfcQojkFxzNrZhlZApA50FPphdYh17XHBx2c7t8Ps6bDcWd1w_CLeVRzUloUypeqYnW196MjDYK0qjveoAO7eJz9vmTduMOSlRbj1_BngM4pt=w408-h272-k-no,true,9 am–5 pm,11 am–7 pm,12–8 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:20.582Z,,
https://www.google.com/maps/place/Vein+Center+at+Northwestern+Memorial+Hospital/data=!4m7!3m6!1s0x880e2cab28dcacb3:0x7be0be6b09c5d0c9!8m2!3d41.8936913!4d-87.620953!16s%2Fg%2F11f26r_fqg!19sChIJs6zcKKssDogRydDFCWu-4Hs,Vein Center at Northwestern Memorial Hospital,,,Vascular surgeon,"259 E Erie St 20th Floor, Suite 2040, Chicago, IL 60611, United States","V9VH+FJ Chicago, Illinois, USA",https://www.nm.org/locations/northwestern-memorial-hospital-vein-center?utm_source=yext&utm_medium=other+location&utm_campaign=online+listings&y_source=1_ODIyOTk0MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 312-695-8346,Closes soon · 4:30 pm · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipNTB2ULhnYTdwpJbeJXKEPaUfl3kqPg78LpZC8j=w426-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:24.827Z,,
https://www.google.com/maps/place/Jaimes+Medical+Group+and+The+Vein+Health+Centers/data=!4m7!3m6!1s0x880fcd657a9e5d49:0xf3ab2928fc53170!8m2!3d41.9245211!4d-87.7066629!16s%2Fg%2F1tfcnym1!19sChIJSV2eemXND4gRcDHFj5KyOg8,Jaimes Medical Group and The Vein Health Centers,4.7,25,Doctor,"3153 W Fullerton Ave, Chicago, IL 60647, United States","W7FV+R8 Chicago, Illinois, USA",https://www.jaimesmedicalgroup.com/locations/chicago-north/,+1 773-395-4600,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwWEYIPCTok7tgD55rCQKHn9YPnV_siXXRaHhgjmR4NJwz3Yzexha3Vy0OhpZhIIfe2XKoamY7_xjrCyVSapnI4S83nsw7cmWxOoAIHODrqkhC8S8D-RBJ2wJkSDGObUcyAQ_wh=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–7 pm,9 am–3 pm,8 am–2 pm,Closed,9 am–7 pm,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:29.307Z,,
https://www.google.com/maps/place/Salcedo+Medical+Center+and+Vein+Institute:+Dr.+Hector+L.+Salcedo/data=!4m7!3m6!1s0x880fcd7abe5cd5cd:0xf9d434bcd6be0e10!8m2!3d41.9104!4d-87.7058279!16s%2Fg%2F1tf8tpvw!19sChIJzdVcvnrND4gREA6-1rw01Pk,Salcedo Medical Center and Vein Institute: Dr. Hector L. Salcedo,4.5,94,Medical Center,"3132 W North Ave, Chicago, IL 60647, United States","W76V+5M Chicago, Illinois, USA",https://salcedomedicalcenter.com/,+1 773-227-3132,Open · Closes 6 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNU40hCUEV9Nusda1mda9w2rWjm5SwzHeY3HktY=w408-h277-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–6 pm,9 am–3 pm,Closed,8 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:33.697Z,,
https://www.google.com/maps/place/Loop+Medical+Center:+Pain+Management+and+Varicose+Vein+Doctor+in+Chicago/data=!4m7!3m6!1s0x880e2dbbf6eddb9f:0xdac7f986fe039d24!8m2!3d41.8560801!4d-87.6236861!16s%2Fg%2F11g_x7fgw5!19sChIJn9vt9rstDogRJJ0D_ob5x9o,Loop Medical Center: Pain Management and Varicose Vein Doctor in Chicago,4.8,1934,Vascular surgeon,"1921 S Michigan Ave, Chicago, IL 60616, United States","V94G+CG Chicago, Illinois, USA",https://loopmedicalcenter.com/,+1 312-414-1088,Closes soon · 4 pm · Opens 8 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOTAlCMuv3xO_9QmmB9dEG12uKKoLlF3ICiB5ih=w408-h544-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:38.456Z,,
https://www.google.com/maps/place/USA+Vein+Clinics+-+Chicago+on+Belmont+Ave./data=!4m7!3m6!1s0x880fcda7abb8dd83:0x71c3442733d77840!8m2!3d41.9386844!4d-87.7255173!16s%2Fg%2F1w9y1pvj!19sChIJg924q6fND4gRQHjXMydEw3E,USA Vein Clinics - Chicago on Belmont Ave.,4.0,45,Medical clinic,"3927 W Belmont Ave Ste 103, Chicago, IL 60618, United States","W7QF+FQ Chicago, Illinois, USA",https://www.usaveinclinics.com/company/locations/illinois/office/chicago-belmont-ave/,+1 773-303-4578,,,https://lh3.googleusercontent.com/p/AF1QipMOTQ3_koU_r745SMqNJryIQG8O6P3T6R0EYsAO=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:43.012Z,,
https://www.google.com/maps/place/Northside+Vein+Care/data=!4m7!3m6!1s0x880fd3a814e3e0c9:0xf429ddcbfea599d3!8m2!3d41.9367333!4d-87.6495741!16s%2Fg%2F1tdmfg_s!19sChIJyeDjFKjTD4gR05ml_svdKfQ,Northside Vein Care,,,Medical clinic,"3000 N Halsted St #823, Chicago, IL 60657, United States","W9P2+M5 Chicago, Illinois, USA",,+1 773-935-5985,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3XKBLkug3iRnhP1ngIugjA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.63602&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–6 pm,9 am–5 pm,9 am–4 pm,Closed,Closed,9 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Gold+Coast+CHI+IL/@41.9066994,-87.6253308,14z",2025-12-16T21:58:47.250Z,,
