placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Always+Best+Care+Senior+Services+-+Home+Care+Services+in+Seattle/data=!4m7!3m6!1s0x54906bf969e620bd:0xbb85a90e27dccc8d!8m2!3d47.6241056!4d-122.2948985!16s%2Fg%2F11s892vr0w!19sChIJvSDmaflrkFQRjczcJw6phbs,Always Best Care Senior Services - Home Care Services in Seattle,5.0,30,Home health care service,"2915 E Madison St #304, Seattle, WA 98112, United States","JPF4+J2 Seattle, Washington, USA",https://alwaysbestcare.com/seattle/,+1 206-922-3795,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNNdAFxNMD2Ag4y-89yPrA-wVg3FXMnuYJS6uaG=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:55:43.025Z,,,
https://www.google.com/maps/place/Alleva+Home+Care/data=!4m7!3m6!1s0x54906ab30b89b105:0xffeeb0493505619d!8m2!3d47.6139531!4d-122.3438802!16s%2Fg%2F1vspr61p!19sChIJBbGJC7NqkFQRnWEFNUmw7v8,Alleva Home Care,5.0,14,Home health care service,"2201 3rd Ave, Seattle, WA 98121, United States","JM74+HC Seattle, Washington, USA",https://www.allevahomecare.com/,+1 206-456-2273,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM2BF-3leQdswzEm_BY5AIEcN33ilOe1qaIIUGn=w442-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:55:49.215Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Silver+Pacific+Home+Care+%26+Staffing/data=!4m7!3m6!1s0x5490156d3340f305:0x89c69c400a78659!8m2!3d47.6140438!4d-122.3371745!16s%2Fg%2F11sghq4ywx!19sChIJBfNAM20VkFQRWYanAMRpnAg,Silver Pacific Home Care & Staffing,5.0,23,Home health care service,"600 Stewart St Ste 400, Seattle, WA 98101, United States","JM77+J4 Seattle, Washington, USA",https://www.silverpacifichomecare.com/,+1 866-414-3416,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO3nUJjTfk6RScQHXPEfHNtCmrD6iJA4-CPu6L-=w772-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:55:54.237Z,,,
https://www.google.com/maps/place/Home+Instead+of+Seattle/data=!4m7!3m6!1s0x549014f00ae13b11:0x4e244db5443408fe!8m2!3d47.6513081!4d-122.321892!16s%2Fg%2F1tyywtpd!19sChIJETvhCvAUkFQR_gg0RLVNJE4,Home Instead of Seattle,4.9,63,Home health care service,"3221 Eastlake Ave E Ste 110, Seattle, WA 98102, United States","MM2H+G6 Seattle, Washington, USA",https://www.homeinstead.com/home-care/usa/wa/seattle/418/?utm_source=google&utm_medium=organic&utm_campaign=google_organic_businesslisting_y,+1 206-622-4663,"Open 24 hours

Confirmed by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN43sNq2JkBmsIyPxxCnGh-9PqeT5rMUC5e4Pno=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:55:59.498Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Visiting+Angels+Seattle/data=!4m7!3m6!1s0x54904055fb6c07e5:0x25a94108f5dac89!8m2!3d47.6105343!4d-122.3346598!16s%2Fg%2F1ths91bg!19sChIJ5Qds-1VAkFQRiaxdjxCUWgI,Visiting Angels Seattle,5.0,2,Home health care service,"1420 5th Ave #2200A, Seattle, WA 98101, United States","JM68+64 Seattle, Washington, USA",https://www.visitingangels.com/seattle/home?utm_source=gmb&utm_medium=organic&utm_campaign=local,+1 206-439-2458,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uBZvZMZ2xPiddAQ_hOUoew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=257.7554&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:56:04.434Z,Identifies as women-owned,,
https://www.google.com/maps/place/Fedelta+Home+Care+-+Seattle/data=!4m7!3m6!1s0x549013ff91d43b23:0x4e0a518323e5d1ff!8m2!3d47.7000498!4d-122.3267902!16s%2Fg%2F1tcxpcf7!19sChIJIzvUkf8TkFQR_9HlI4NRCk4,Fedelta Home Care - Seattle,4.7,44,Home health care service,"9725 3rd Ave NE Suite 301, Seattle, WA 98115, United States","PM2F+27 Seattle, Washington, USA",https://fedeltahomecare.com/?utm_source=google&utm_medium=organic&utm_campaign=northgate-gbp,+1 206-681-1464,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMn7jTNoiWlZdA8GKh-D4A0Qw75z_Jx01KofmCk=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:56:09.557Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Carina/data=!4m7!3m6!1s0x54906ab08a7fb2ff:0xc42c6bdc715ba683!8m2!3d47.6039228!4d-122.3329681!16s%2Fg%2F11c6_gz7sm!19sChIJ_7J_irBqkFQRg6ZbcdxrLMQ,Carina,1.9,35,Home health care service,"215 Columbia St #300, Seattle, WA 98104, United States","JM38+HR Seattle, Washington, USA",http://www.carina.org/,+1 844-797-8901,Open ⋅ Closes 5:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-PfbXxtufklRDEufBQ_EhA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=146.15532&pitch=0&thumbfov=100,true,9 am–5:30 pm,9 am–5 pm,9 am–5:30 pm,Closed,Closed,9 am–5:30 pm,9 am–5:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:56:14.456Z,,,
https://www.google.com/maps/place/Amada+Senior+Care/data=!4m7!3m6!1s0x54906bf8a3b3f257:0x97790509351f445c!8m2!3d47.6148059!4d-122.3184079!16s%2Fg%2F11xl69qh0s!19sChIJV_Kzo_hrkFQRXEQfNQkFeZc,Amada Senior Care,,,Home health care service,"1525 11th Ave, Seattle, WA 98122, United States","JM7J+WJ Seattle, Washington, USA",https://www.amadaseniorcare.com/seattle-senior-care/,+1 206-333-4750,"Open 24 hours

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPgQjD-GAwtUstJ4AaWf1MrB3K2IBmDV2hsqzM5=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:56:19.262Z,,,
https://www.google.com/maps/place/Homecare+Associates/data=!4m7!3m6!1s0x54906acc695e8707:0x2a0802190511336c!8m2!3d47.6138984!4d-122.3201891!16s%2Fg%2F1tcxjgpk!19sChIJB4deacxqkFQRbDMRBRkCCCo,Homecare Associates,,,Home health care service,"911 E Pike St, Seattle, WA 98122, United States","JM7H+HW Seattle, Washington, USA",,+1 206-984-5857,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ct4uYqlN_S7RqLLfB6fzyw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.63991&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:56:24.190Z,,,
https://www.google.com/maps/place/Fedelta+Home+Care/data=!4m7!3m6!1s0x54906b7943f3e155:0xf07d8690428cc646!8m2!3d47.6083798!4d-122.3330092!16s%2Fg%2F11y2kpd_2_!19sChIJVeHzQ3lrkFQRRsaMQpCGffA,Fedelta Home Care,,,Home health care service,"1200 5th Ave #1800, Seattle, WA 98101, United States","JM58+9Q Seattle, Washington, USA",https://fedeltahomecare.com/?utm_source=google&utm_medium=organic&utm_campaign=downtown-gbp,,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMdOGPxySVDvVljUVKE-1fUtnKGtXeYw2fpiizm=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2025-09-10T19:56:29.014Z,LGBTQ+ friendly,,
