placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,isBlackOwned
"https://www.google.com/maps/place/TreeNewal,+Certified+Arborist/data=!4m7!3m6!1s0x864c2d13410935b7:0xd98651cfde8549a5!8m2!3d32.9985826!4d-97.0688358!16s%2Fg%2F11hldty3w_!19sChIJtzUJQRMtTIYRpUmF3s9Rhtk","TreeNewal, Certified Arborist",4.7,25,Tree service,"1011 Surrey Ln building 200, Flower Mound, TX 75022, United States","XWXJ+CF Flower Mound, Texas, USA",https://treenewal.com/,+1 817-601-1812,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEo0Q5amJThb73zcNWAh6rQ7CVqfqbtiKJk292dJZ6OoLSSRMVNyVMEhyeQxqWTQB5sMHM7pgOTKU1U1B-rvzLIds4rys0YFlqOXrMN4hxtXUwzP_oVOoUQdqhLieH8mdMJy_Ut=w877-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:18.923Z,,
https://www.google.com/maps/place/Tree+Service+Flower+Mound/data=!4m7!3m6!1s0x8947ac73449a1329:0x5586cbd8e0203baf!8m2!3d33.0201305!4d-97.0694818!16s%2Fg%2F11zj93c1vl!19sChIJKROaRHOsR4kRrzsg4NjLhlU,Tree Service Flower Mound,5.0,18,Tree service,"2604 Long Prairie Rd #300-15, Flower Mound, TX 75022, United States","2WCJ+36 Flower Mound, Texas, USA",https://www.treeservice-flowermound.com/,+1 469-654-3415,Closed · Opens 6 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYiKzH7hcIIXmOtqNejbWoC2j3_IS03y135vCrANs5VL5vIWidEfM1k68cPgkFv6tia3yvS-oq-ZW0U_3mPENvlLwXxbB00rvwvu-HzAVP1I_TLUkkFCSS91iTkAB399MoIaXsj_uEG5Aa=w408-h306-k-no,true,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:23.444Z,,
https://www.google.com/maps/place/Texas+Tree+Doctor/data=!4m7!3m6!1s0x495aa48bc9500efd:0xda518008dd7811ed!8m2!3d32.7430719!4d-96.963595!16s%2Fg%2F11qbrp1v2s!19sChIJ_Q5QyYukWkkR7RF43QiAUdo,Texas Tree Doctor,5.0,32,Arborist service,,,http://www.texastreedoctor.com/,+1 945-209-9670,Closed · Opens 7 am Wed,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE5jqfmoZ-7v36VAibQ2yVTJrDP_3peWXs_-ylhZyjUCbXIAnde0o4inwj4Wre5ykgarf4-UoCcQ7wxSser2b8kkthVS-y0D6AO_PO2fpjscHVi8tqSQ1gE2elNFghnST0lTF3g=w408-h408-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,7 am–7 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:27.967Z,,
https://www.google.com/maps/place/1-2-Tree+LLC/data=!4m7!3m6!1s0x864c2cf084f4d875:0xd473891588bc7d7a!8m2!3d32.997458!4d-97.0321352!16s%2Fg%2F1xg5t238!19sChIJddj0hPAsTIYRen28iBWJc9Q,1-2-Tree LLC,4.8,163,Tree service,"111 Duncan Ln, Flower Mound, TX 75028, United States","XXW9+X4 Flower Mound, Texas, USA",http://12tree.com/,+1 972-989-9332,Closed · Opens 9 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUGPHqVLsVbCz7Uw2JrRP1IsRYxQmYW45SE_CDzYicIVy9Zbqbfngspxngy8ZKlaS9qVCl7qU9CKqEyKvwxvPropGOitbVkv46BprF9D3GGmucYmaTJ9unxNBCxDrIXWSKWgVp=w408-h612-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:32.210Z,,
https://www.google.com/maps/place/Hope+Lawns+of+Flower+Mound/data=!4m7!3m6!1s0x864c2c32ca564323:0xdab441a13ae6d973!8m2!3d32.9985775!4d-97.0689987!16s%2Fg%2F11h08ck6z!19sChIJI0NWyjIsTIYRc9nmOqFBtNo,Hope Lawns of Flower Mound,5.0,32,Lawn care service,"1011 Surrey Ln Bldg 200, Flower Mound, TX 75022, United States","XWXJ+CC Flower Mound, Texas, USA",https://hopelawns.com/flowermound/,+1 469-293-8229,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXQx_jkcPP2fwa84aGNjCEcqNHnwHG8a8A3V79EjlRVTRR6vPRNV3gw2xISM8V1YjT1W7PNLsbfBErX_AVjaOamO2F2hsglwr7AatbgzjhmCs2b8BvlfMrJsxb04oJCFa9B-qkCLdVcqw=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:36.425Z,,
https://www.google.com/maps/place/Dominion+Land+and+Tree/data=!4m7!3m6!1s0xa12654ba2b913311:0x5e9d9edab33d6231!8m2!3d33.0774971!4d-97.0574591!16s%2Fg%2F11wfg2vzf_!19sChIJETORK7pUJqERMWI9s9qenV4,Dominion Land and Tree,5.0,42,Tree service,"202 Stone Canyon Dr, Highland Village, TX 75077, United States","3WGV+X2 Highland Village, Texas, USA",http://www.dominionlandmanagement.com/,+1 214-897-5558,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFVIvEQqHR1E1IT5iM8FiAdHvcxPdjb5dVrWvPSh2PzncNOSLI__BZRqHw6bn136X0jaQjCBdKmi7HJbZi8MROs6-Ualn6pp05JFuJC2gkfd9hEZcMephohjXHXSuIA1fH-Frcw2zZ2sKEQ=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:40.708Z,,
https://www.google.com/maps/place/Joshua+Tree+Experts/data=!4m7!3m6!1s0x6cae47ee5277f1b9:0x76dca51f302403fc!8m2!3d33.0218331!4d-96.9310846!16s%2Fg%2F11wfrc2wzp!19sChIJufF3Uu5HrmwR_AMkMB-l3HY,Joshua Tree Experts,5.0,71,Tree service,,,https://www.joshuatreeexperts.com/north-dallas-tx,+1 972-685-1000,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEY9CvyEI2r442WjtQlJ84AEsLzgK5taLC398kdPO0SzM_VLVirABPWHH43jkVY0HGzT5opxDJZXOFor0iho-ylRFc80UDpuW-60jTvbq9jUwA2FvAzfhogJWo8IATAmtI-gqrMfjqAg7iE=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:44.903Z,,
https://www.google.com/maps/place/Meier%27s+Landscape+Maintenance/data=!4m7!3m6!1s0x864c2c35a492ad65:0x13a2742b0d15394b!8m2!3d33.0201001!4d-97.069516!16s%2Fg%2F1tgp166n!19sChIJZa2SpDUsTIYRSzkVDSt0ohM,Meier's Landscape Maintenance,4.6,130,Lawn care service,"2604 Long Prairie Rd #300-11, Flower Mound, TX 75022, United States","2WCJ+25 Flower Mound, Texas, USA",https://meierslandscape.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,+1 972-365-8772,Closed · Opens 9 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQvI-5SVaPijEy6X3z7xfpQcOg2aQz-lC3PmnlfZ9SpDRGpFFP8sCQXLOaYVTHgb-Mp1qrNI1f6g7ljRRvJn-LQ9kk4w-958DnXJhgAlI68ZHzNFSbxIjEestheO9fiA93bqrl=w408-h679-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:49.209Z,,
https://www.google.com/maps/place/Golden+Tree+Maintenance/data=!4m7!3m6!1s0x864c2dbc35572c81:0xa04eef2a1091bc8b!8m2!3d33.0156341!4d-97.0444264!16s%2Fg%2F11h6l6dph4!19sChIJgSxXNbwtTIYRi7yRECrvTqA,Golden Tree Maintenance,5.0,2,Tree service,"2218 Thrush Rd, Flower Mound, TX 75028, United States","2X84+76 Flower Mound, Texas, USA",http://www.goldentreemaintenance.com/,+1 972-416-1799,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFayQkm3VKfKWDDoGlwikqVcKu9qTZe17JurhVCvMD-0_2lGRCelN_zT1SDl6hNk4a617513A-u1oZyjf0Bb8KNtygJFnoA6qu09p-iMUeMzslW7yks3pjYy5W1HaXacQoUxpZDKg=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:53.490Z,,
https://www.google.com/maps/place/The+Grounds+Guys+of+Flower+Mound+-+Highland+Village/data=!4m7!3m6!1s0x864c2d7389bb0825:0xb612e7d045361f29!8m2!3d33.0388801!4d-97.071285!16s%2Fg%2F11ygg_wgrr!19sChIJJQi7iXMtTIYRKR82RdDnErY,The Grounds Guys of Flower Mound - Highland Village,5.0,15,Landscaper,"3921 Long Prairie Rd Bldg 5, Ste 109, Flower Mound, TX 75028, United States","2WQH+HF Flower Mound, Texas, USA",https://www.groundsguys.com/locations/texas/flower-mound/?cid=LSTL_GUY000204&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 469-250-0046,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSZvXXkzf1gdwjakG4slk54PAIYwV5BcDJKeMlLnF5R1Lu1rzPqf_D8-WbEHF25vFVlsrsUTizgaxLyWCAjMYangK6QP7Bk3Ffp_NgKWPrwS_GCnUYan5gURSCL_SpsKqyOXJlGr7h2X8=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Flower+Mound+DFW+TX/@33.0145673,-97.0969552,14z",2026-04-29T04:34:57.675Z,,
