placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Down+To+Earth+Landscape/data=!4m7!3m6!1s0x88e763788084f16f:0x7beed56f43b87b3f!8m2!3d28.3325716!4d-81.3458495!16s%2Fg%2F1tdcbmqv!19sChIJb_GEgHhj54gRP3u4Q2_V7ns,Down To Earth Landscape,4.3,222,Landscaper,,,http://dtelandscape.com/,+1 321-263-2700,Closed · Opens 7 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGU41GG2QLqMYG3l56IGrdIh_XfIMglx2ZJCLPVRj3E8cW4bkNeMpKfluivhAdqBZfi3hlEK92cooptU_f08sC8_1X6hgoipsIgpjS-cIw51OPwAntGoUTZRfvneRs7dpzAXghT=w408-h305-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:06:30.360Z,,,
"https://www.google.com/maps/place/The+Grounds+Guys+of+Winter+Park,+FL/data=!4m7!3m6!1s0x230e40b56d2cc903:0x5059b3258d2f448e!8m2!3d28.559184!4d-81.3672265!16s%2Fg%2F11s3bwwy30!19sChIJA8ksbbVADiMRjkQvjSWzWVA","The Grounds Guys of Winter Park, FL",4.5,61,Landscaper,,,https://www.groundsguys.com/locations/florida/winter-park/?cid=LSTL_GUY000204&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 407-547-1721,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHz73wuipJN34Jh5JsuUZ_uUDEWaydZ8xNVm1v3GLKterxbmcBdjmijLAdlm1_vC3diP-NHNgAxby2N0s5S4vlBh1dngi38Sz2rRDN4E1NLnppxoYgIYXdBnMJq9lVO0MQJcAOt=w408-h270-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:06:35.399Z,Identifies as Latino-owned,,
"https://www.google.com/maps/place/Signature+Landscape+Contractors,+LLC./data=!4m7!3m6!1s0x88e7701aa1c34b6b:0x7c6708a157273f0!8m2!3d28.6160835!4d-81.3666436!16s%2Fg%2F11xl7gffx!19sChIJa0vDoRpw54gR8HNyFYpwxgc","Signature Landscape Contractors, LLC.",4.6,39,Landscape designer,"160 Circle Dr, Maitland, FL 32751, United States","JJ8M+C8 Maitland, Florida, USA",http://www.signaturelandscapecontractors.com/,+1 407-622-0011,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFXHnwU0DOG1m5AWIZYfoftHsKbLThoyEo2bySZNq6sCNtWsyLdzo-QIIhC_gSOh7i8ZajPIBy-GEy4Z3j4CfatyEvpVNzljZ3Q7Sz1wWIH_ntz-rOHyPaXGm5dLCUjtFQhVS8SJpvOY0fd=w427-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:06:39.799Z,,,
https://www.google.com/maps/place/Ace+Landscape+Services+LLC/data=!4m7!3m6!1s0x88e76fbd0514f707:0x587203e42c5367ef!8m2!3d28.6209496!4d-81.3178289!16s%2Fg%2F11gsb5qvkd!19sChIJB_cUBb1v54gR72dTLOQDclg,Ace Landscape Services LLC,4.4,20,Lawn care service,"2152 Linden Rd, Winter Park, FL 32792, United States","JMCJ+9V Winter Park, Florida, USA",,+1 407-619-4675,Closes soon · 6 pm · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAESuZEQeEgvBYvN7uHf0rC5Wj5hiEFWu3EQPERyHDSr8aRC_8vhhd2Ocb7_0sKrLgB_EFakd8BdjZcgwwsfIq1fOr8QODzs0RhX6OXTwEXixJgJf4waL8dSz4AnTobKxrZFwaoO-PmZaNEe=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:06:44.078Z,,,
https://www.google.com/maps/place/Massey+Services+GreenUP+Lawn+Care+Service/data=!4m7!3m6!1s0x88e77a83450b9b19:0x6fd23056308910c5!8m2!3d28.592725!4d-81.372404!16s%2Fg%2F1tdkbx9g!19sChIJGZsLRYN654gRxRCJMFYw0m8,Massey Services GreenUP Lawn Care Service,4.2,86,Lawn care service,"1710 W Fairbanks Ave Ste 140, Winter Park, FL 32789, United States","HJVH+32 Winter Park, Florida, USA",https://www.masseyservices.com/service-location/orlando-landscape/?utm_source=googlemybusiness&utm_medium=search&utm_campaign=Orlando2&utm_content=masseylocalsearch,+1 407-896-8686,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG83qZTw0XYB0Y0O0zVw1wa5Qwf2nxTaixL68i2tk50rSqi5_quo3aVDC3UWq7QyfxtqXc2yP4eZIRvD8j3Al4jCnINmY3LD2oL9ocmMPrH1ssR2V98QeE9w1GQi6siHRtkswWj=w426-h240-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,8 am–2 pm,Closed,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:06:48.466Z,,,
https://www.google.com/maps/place/Romaga+Commercial+Landscaping/data=!4m7!3m6!1s0x88e765a77ff75f6b:0x620dbc58d29dce9c!8m2!3d28.5979467!4d-81.2949258!16s%2Fg%2F11mj0spz13!19sChIJa1_3f6dl54gRnM6d0li8DWI,Romaga Commercial Landscaping,3.3,34,Landscaper,"7003 University Blvd, Winter Park, FL 32792, United States","HPX4+52 Winter Park, Florida, USA",https://www.romagalandscaping.com/,+1 407-235-5030,Closed · Opens 6 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEU139WzbOXjb4emWwo9BYxYuIO923pYpOePeh7_gVxSUjpLOlcw1cSsAnASilNv_5nm-xhFDzL1ev7QkgolWobLipu3QP2gY02vfwzFgq3SzWXYUQpWbQh6wR3UQ4wRkA9hqU=w426-h240-k-no,true,6 am–5 pm,6 am–5 pm,6 am–5 pm,Closed,Closed,6 am–5 pm,6 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:06:52.775Z,,,
https://www.google.com/maps/place/Lawntastic+Landscaping/data=!4m7!3m6!1s0x88e76f4786dd3885:0xceff02d5f082f85f!8m2!3d28.5599575!4d-81.294754!16s%2Fg%2F11r7n5n729!19sChIJhTjdhkdv54gRX_iC8NUC_84,Lawntastic Landscaping,4.9,61,Landscape designer,,,https://lawntasticlandscaping.com/,+1 407-960-0699,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHA8aIOM7YPzZafJ90WR-_h0d1HOJ4PJJ0CS3gyzOiyISn55yOiWsHCGdRmviBn5-Pz3WdqPZ0U8kz5oTEPCYXEpg7Kg4VViAz9DoOliKCVMVHEt48Vj3JPBpXE5iErqEJ6pR8SwqLVcmZO=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:06:57.365Z,,,
"https://www.google.com/maps/place/Firsthand+Lawn+and+Landscape,+LLC/data=!4m7!3m6!1s0x88e77bc82a6698bb:0x5465c4d72841fa70!8m2!3d28.582885!4d-81.410127!16s%2Fg%2F11y41k9rl4!19sChIJu5hmKsh754gRcPpBKNfEZVQ","Firsthand Lawn and Landscape, LLC",4.9,152,Landscaper,"3720 N Orange Blossom Trl, Orlando, FL 32804, United States","HHMQ+5W Orlando, Florida, USA",https://firsthandlawns.com/?utm_source=google&utm_medium=seo&utm_campaign=gbp-listing,+1 407-584-3784,"Open 24 hours

Updated by this business 6 days ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGYii_Nq9RpcFXpDtnH66kkyZIR3MFDe2IsQWzOomiz6UKEoUolk6BdHwTJnzt-GirtzfzYZhGuF8VAdJ5GZz9SP8EODMCvT7HciZyz4odu8mO6Dm9SxhDhr-g0oFO_6Z_WtyVF=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:07:01.740Z,,,
https://www.google.com/maps/place/Vested+Landscapes+LLC./data=!4m7!3m6!1s0x88e771d70c6cebf9:0x89494f07d70aae6b!8m2!3d28.5853502!4d-81.3679329!16s%2Fg%2F11v5ft4lmx!19sChIJ-etsDNdx54gRa64K1wdPSYk,Vested Landscapes LLC.,5.0,5,Landscape designer,"1338 Suffolk Rd, Winter Park, FL 32789, United States","HJPJ+4R Winter Park, Florida, USA",http://vestedlandscapes.com/,+1 407-717-7099,Open · Closes 6 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF4eg6bRB06KB7QqzuIqVDj-gmF4NN9nE3NKAg-e0UVtX0bcDr2kVCJ9_CTu0KiZtyt6dF71oA_22R09FIweT2SN24GlFer1_OIvvkpvC8iI2awa8XoeAY5bjcyA3Qk0ogyXESoYg=w408-h306-k-no,true,8 am–12 am,"12–6 am, 8 am–12 am","12–6 am, 8 am–12 am",12–6 am,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:07:05.955Z,,,
https://www.google.com/maps/place/Baker+Commercial+Landscaping/data=!4m7!3m6!1s0x88e76f7fa97835f7:0xd84dff54d92da9c6!8m2!3d28.5668752!4d-81.2885731!16s%2Fg%2F11cjkwdg1t!19sChIJ9zV4qX9v54gRxqkt2VT_Tdg,Baker Commercial Landscaping,3.6,108,Landscaper,"7350 Old Cheney Hwy, Orlando, FL 32807, United States","HP86+QH Orlando, Florida, USA",http://www.bakerlandscaping.com/,+1 407-339-8821,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGumjmhFLGrA9PboCMQFLG_jCIJa_KbsT-t8eoW0yoeTN1LvPKqarSGfE3ie8umjzjVehXQQJ9WAg9TnDOGG1LSW-OjcTGzVVwv3A3R_g13DNJe3FAUJpusxyDaw2ElV9Hn6Kxa=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-04-29T21:07:10.183Z,,,
