placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Georgina+Home+Care/data=!4m7!3m6!1s0x89e80fe7aee85c57:0xb68a10f1d7f757f5!8m2!3d41.1775164!4d-73.2173488!16s%2Fg%2F11k9t7g726!19sChIJV1zorucP6IkR9Vf31_EQirY,Georgina Home Care,4.8,29,Home health care service,"2475 North Ave, Bridgeport, CT 06604, United States","5QHM+23 Bridgeport, Connecticut, USA",http://www.georginahomecare.com/,+1 203-549-1226,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jA0YzJLoHkusjwYQSJ2P9Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=151.44368&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:50:45.672Z,,,
https://www.google.com/maps/place/Faith+%26+Hope+Home+Care+Services+LLC/data=!4m7!3m6!1s0x89e80e8829a10f79:0x192cb9818d9ba16c!8m2!3d41.2057608!4d-73.206253!16s%2Fg%2F11gyxhc_br!19sChIJeQ-hKYgO6IkRbKGbjYG5LBk,Faith & Hope Home Care Services LLC,4.9,21,Home health care service,"3223 Main St #1l, Bridgeport, CT 06606, United States","6Q4V+8F Bridgeport, Connecticut, USA",https://faithandhopehcs.wixsite.com/my-vxw-site-piurzo,+1 203-572-0389,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipN4RNfCahFVtJ-yqjF44prfD1BHM3r3x7RToSMu=w637-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:50:52.070Z,Identifies as women-owned,,
https://www.google.com/maps/place/Taking+Care+of+You+Home+Care+Agency/data=!4m7!3m6!1s0x89e80fc0e9738477:0xbb334a2ddba56d52!8m2!3d41.1806399!4d-73.1923861!16s%2Fg%2F11h51wh7b_!19sChIJd4Rz6cAP6IkRUm2l2y1KM7s,Taking Care of You Home Care Agency,5.0,17,Home health care service,"60 Lyon Terrace #2, Bridgeport, CT 06604, United States","5RJ5+72 Bridgeport, Connecticut, USA",,+1 203-945-1655,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npaS69qRFe2r0s3Xl5s4Emll7BNqcF95giGcBNPg9Rsq-xqU_24RjYW4twZNnVS_YxE2duGldS2LdiduXsR6SHWnILP88-dQh_4XEf9sF8BfgdoxUuGGDF7ReKxLGnaAVVWguaY=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:50:57.069Z,Identifies as veteran-owned,,
https://www.google.com/maps/place/Silva%27s+Care+Services+LLC/data=!4m7!3m6!1s0x89e80f908a3c1381:0x23ce9c4a3e122ca6!8m2!3d41.2056926!4d-73.2063296!16s%2Fg%2F11rc9y4_8c!19sChIJgRM8ipAP6IkRpiwSPkqcziM,Silva's Care Services LLC,4.8,17,Home health care service,"3223 Main St #1l, Bridgeport, CT 06606, United States","6Q4V+7F Bridgeport, Connecticut, USA",,+1 203-572-0302,Closes soon ⋅ 2 pm ⋅ Opens 9 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qNfOEle5Tp237VfT1Ai2hg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=296.8619&pitch=0&thumbfov=100,true,9 am–2 pm,9 am–2 pm,9 am–2 pm,Closed,Closed,9 am–2 pm,9 am–2 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:51:02.106Z,,,
https://www.google.com/maps/place/AMPM+Care+Services/data=!4m7!3m6!1s0x89e80e896a4fbcc7:0x444233cef2be9681!8m2!3d41.1947682!4d-73.1986374!16s%2Fg%2F11ggp29s8n!19sChIJx7xPaokO6IkRgZa-8s4zQkQ,AMPM Care Services,4.5,8,Home health care service,"2320 Main St STE 3, Bridgeport, CT 06606, United States","5RV2+WG Bridgeport, Connecticut, USA",,+1 203-296-4251,Open ⋅ Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RdrxLx-X4pqF2bj8MOuzYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=56.02812&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:51:06.903Z,,,
https://www.google.com/maps/place/Home+First+Healthcare/data=!4m7!3m6!1s0x89e80fe52d28a4e1:0x67e69554465212bd!8m2!3d41.1887809!4d-73.2177181!16s%2Fg%2F11ffnm7hy5!19sChIJ4aQoLeUP6IkRvRJSRlSV5mc,Home First Healthcare,5.0,1,Home health care service,"1335 Wood Ave, Bridgeport, CT 06604, United States","5QQJ+GW Bridgeport, Connecticut, USA",http://www.homefirst365.com/,+1 203-332-1113,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=anoWUGeTQrRJ5-xpvveFEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=244.69579&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:51:11.961Z,,,
https://www.google.com/maps/place/RiteCare+LLC/data=!4m7!3m6!1s0x89e80ef5480a3723:0xab5af97826e43c8a!8m2!3d41.1935584!4d-73.206478!16s%2Fg%2F11fx81sh99!19sChIJIzcKSPUO6IkRijzkJnj5Wqs,RiteCare LLC,4.6,21,Home health care service,"909 Capitol Ave, Bridgeport, CT 06606, United States","5QVV+CC Bridgeport, Connecticut, USA",http://ritecarect.com/,+1 203-331-8270,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=goPVJ5dV3c8f07ddY5tN-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=160.82884&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:51:17.248Z,,,
https://www.google.com/maps/place/Beyond+Home+Care+Staffing+Service/data=!4m7!3m6!1s0x89e80c897621d349:0xfce33655607712f2!8m2!3d41.1958288!4d-73.1994294!16s%2Fg%2F1tg9tqj2!19sChIJSdMhdokM6IkR8hJ3YFU24_w,Beyond Home Care Staffing Service,4.3,6,Home health care service,"2410 Main St, Bridgeport, CT 06610, United States","5RW2+86 Bridgeport, Connecticut, USA",,+1 203-380-8883,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-4kovL7LBqzlht9tS56-gg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=57.258205&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:51:22.207Z,,,
https://www.google.com/maps/place/Celebrity+Homemakers+of+Bridgeport/data=!4m7!3m6!1s0x89e80d8a1f837c1f:0x231c584b4ccf086e!8m2!3d41.1894233!4d-73.1805498!16s%2Fg%2F11rx49kfcp!19sChIJH3yDH4oN6IkRbgjPTEtYHCM,Celebrity Homemakers of Bridgeport,5.0,2,Home health care service,"1078 E Main St, Bridgeport, CT 06608, United States","5RQ9+QQ Bridgeport, Connecticut, USA",,+1 203-213-1988,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CJmn5JqeXjUOfQV-tHrG8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.519585&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:51:27.258Z,,,
"https://www.google.com/maps/place/Apex+In+Home+Services,+LLC/data=!4m7!3m6!1s0x89e80e6205e6aaab:0x7067a8e57b6956ed!8m2!3d41.1909779!4d-73.1991922!16s%2Fg%2F11h3vblxq9!19sChIJq6rmBWIO6IkR7VZpe-WoZ3A","Apex In Home Services, LLC",5.0,7,Home health care service,"54 Fairmount Ave, Bridgeport, CT 06606, United States","5RR2+98 Bridgeport, Connecticut, USA",https://apex-healthservicesllc.com/,+1 203-380-2376,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5F-928KUuoPfIFlPLJNVpA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=47.56355&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+Bridgeport+CT/@41.17989,-73.1923287,14z",2025-09-10T17:51:32.389Z,Identifies as women-owned,,
