placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Summit+Spine+%26+Joint+Centers/data=!4m7!3m6!1s0x88f9cd08f6e996a7:0xdd544061a2fba927!8m2!3d33.4741589!4d-81.9960768!16s%2Fg%2F11vrkv3hr5!19sChIJp5bp9gjN-YgRJ6n7omFAVN0,Summit Spine & Joint Centers,4.4,104,Pain management physician,"1008 Druid Park Ave Suite 101, Augusta, GA 30901, United States","F2F3+MH Augusta, Georgia, USA",https://summitspine.com/locations/augusta/,+1 770-962-3642,"Open · Closes 5 pm

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMGGKICXeL91-ATwcMGKaciszVzBD0d7uVs0Vgc=w474-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:41:46.934Z,,,
https://www.google.com/maps/place/Royal+Pain+Center/data=!4m7!3m6!1s0x88f9d2ff9ffa2065:0x6275fa3aaae87606!8m2!3d33.500144!4d-82.08149!16s%2Fg%2F1thd7jpc!19sChIJZSD6n__S-YgRBnboqjr6dWI,Royal Pain Center,4.6,56,Pain management physician,"2922 Professional Pkwy, Augusta, GA 30907, United States","GW29+3C Augusta, Georgia, USA",,+1 706-855-2767,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2uH7jzfds7LXfzoReOcpmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=236.05208&pitch=0&thumbfov=100,true,7 am–4 pm,7 am–4 pm,Closed,Closed,Closed,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:41:53.128Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Augusta+Pain+Center/data=!4m7!3m6!1s0x88f9d3a5597a600d:0x45382c09828f9fdb!8m2!3d33.4904138!4d-82.093163!16s%2Fg%2F1thxly0y!19sChIJDWB6WaXT-YgR25-PggksOEU,Augusta Pain Center,4.0,186,Pain control clinic,"1321 Interstate Pkwy, Augusta, GA 30909, United States","FWR4+5P Augusta, Georgia, USA",https://augustapaincenter.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gbp,+1 706-365-0578,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipOBaMUc9svacXfreW-rpPTFBfDqGoBGpLoy-aNe=w426-h240-k-no,true,7:30 am–4:30 pm,7:30 am–4:30 pm,8 am–2 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:41:57.878Z,,,
https://www.google.com/maps/place/Alliance+Spine+and+Pain+Centers/data=!4m7!3m6!1s0x88f9d3b8553e7cff:0x973edc6c024a3ca0!8m2!3d33.4908838!4d-82.0891397!16s%2Fg%2F1tc_9jjt!19sChIJ_3w-VbjT-YgRoDxKAmzcPpc,Alliance Spine and Pain Centers,4.9,1896,Anesthesiologist,"3152 Perimeter Pkwy Building 2 suite 1, Augusta, GA 30909, United States","FWR6+98 Augusta, Georgia, USA",https://www.spinepains.com/,+1 706-863-3135,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMedzWfuWBosRDYr2a_V-xr5Y7qxsL7dW2s1GEU=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:42:02.758Z,,,
https://www.google.com/maps/place/Piedmont+Physicians+Pain+Management+of+Augusta/data=!4m7!3m6!1s0x88f9d374e61128a5:0x77e3b6dda5a096a9!8m2!3d33.5234689!4d-82.0486734!16s%2Fg%2F11vsp37mzf!19sChIJpSgR5nTT-YgRqZagpd2243c,Piedmont Physicians Pain Management of Augusta,1.8,5,Pain management physician,"840 Stevens Creek Rd, Augusta, GA 30907, United States","GXF2+9G Augusta, Georgia, USA",https://www.care.piedmont.org/locations/location-details/practice/1785?utm_source=directorylisting&utm_medium=seo&utm_campaign=10220&y_source=1_MTAyODk3MDc1NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 706-396-6389,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP0-tNw6j29LMrhVEeDqBSOZPuxzmU7lhfLSZg3=w427-h240-k-no,true,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:42:07.593Z,,,
"https://www.google.com/maps/place/Aaron+Sanders,+MD/data=!4m7!3m6!1s0x88f9d3d6d14f4085:0x87b79f63ca55a03f!8m2!3d33.5235558!4d-82.0486734!16s%2Fg%2F11sfdldvb5!19sChIJhUBP0dbT-YgRP6BVymOft4c","Aaron Sanders, MD",4.8,55,Pain management physician,"840 Stevens Creek Rd, Augusta, GA 30907, United States","GXF2+CG Augusta, Georgia, USA",https://www.care.piedmont.org/provider/Aaron+Christopher+Sanders/2677858,+1 706-722-6957,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AyCIUYmFOmrJDjzb_5tm3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.86617&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:42:12.546Z,,,
"https://www.google.com/maps/place/Dr.+Mark+J.+Stewart,+MD/@33.4908838,-82.0891397,17z/data=!3m1!4b1!4m6!3m5!1s0x88f9d358a8caa3df:0x448a1e8f9fdbe0f9!8m2!3d33.4908838!4d-82.0891397!16s%2Fg%2F1tfxyw_7","Dr. Mark J. Stewart, MD",4.9,54,Pain management physician,"3152 Perimeter Parkway, Building 2, Suite 1, Augusta - Clinic, 3152 Perimeter Pkwy, Augusta, GA 30909, United States","FWR6+98 Augusta, Georgia, USA",https://www.spinepains.com/,+1 706-863-3135,Open · Closes 5 pm,,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:42:19.398Z,,,
"https://www.google.com/maps/place/Dr.+John+M.+Downey+Sr,+DO/data=!4m7!3m6!1s0x88f9d2ff9ffa2065:0x3b0488b827b6af4e!8m2!3d33.5001454!4d-82.0814819!16s%2Fg%2F1vxvjqbc!19sChIJZSD6n__S-YgRTq-2J7iIBDs","Dr. John M. Downey Sr, DO",4.3,37,Pain management physician,"2922 Professional Pkwy, Augusta, GA 30907, United States","GW29+3C Augusta, Georgia, USA",https://rymap.org/business/dr-john-m-downey-sr-do-rm12jy,+1 706-855-2767,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2uH7jzfds7LXfzoReOcpmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=235.17628&pitch=0&thumbfov=100,false,7 am–4 pm,7 am–4 pm,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:42:24.225Z,,,
https://www.google.com/maps/place/Advanced+Pain+Management/data=!4m7!3m6!1s0x88f9d4a3f0f12897:0x49a12f754e77894b!8m2!3d33.5295369!4d-82.1339244!16s%2Fg%2F1tdb9pp9!19sChIJlyjx8KPU-YgRS4l3TnUvoUk,Advanced Pain Management,4.7,538,Pain management physician,"404 Town Park Blvd Suite 101, Evans, GA 30809, United States","GVH8+RC Evans, Georgia, USA",https://www.apmaugusta.com/,+1 706-922-7246,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipMjBSanXdrk6XxDSGzUp_uYNpEH09B0mKV6tFYu=w588-h240-k-no,true,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,Closed,8 am–5:30 pm,8 am–5:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:42:29.238Z,,,
https://www.google.com/maps/place/Wellstar+Pain+Medicine/data=!4m7!3m6!1s0x88f9cd24b92be483:0xad33cf03ba490548!8m2!3d33.4713109!4d-81.9906888!16s%2Fg%2F11xlyy0frm!19sChIJg-QruSTN-YgRSAVJugPPM60,Wellstar Pain Medicine,,,Pain management physician,"Entrance A, 1120 15th St 1st Floor, Augusta, GA 30912, United States","F2C5+GP Augusta, Georgia, USA",https://www.wellstar.org/locations/medical-practice/pain-medicine-augusta-1120-15th-street-1st-floor-entrance-a?utm_medium=listing&utm_source=google&utm_content=Wellstar_Pain_Medicine,+1 706-721-7246,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tX6mqVO6i2Xw8hqMaCF_MQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=117.84404&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Augusta+GA/@33.4646174,-81.9541975,14z",2026-01-28T19:42:31.901Z,,,
