placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/J.+R.+Lane+Plumbing+Co./data=!4m7!3m6!1s0x89ac5e8943a5cfd3:0x858fab4b4c6bb72c!8m2!3d35.7660075!4d-78.5822519!16s%2Fg%2F1tfff1lw!19sChIJ08-lQ4lerIkRLLdrTEurj4U,J. R. Lane Plumbing Co.,4.7,153,Plumber,"805 Sunnybrook Rd, Raleigh, NC 27610, United States","QC89+C3 Raleigh, North Carolina, USA",https://laneplumbingraleigh.com/,+1 919-231-1388,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipMk3I2wTYtxa2KJEOmKzkBqC9EUx60R4aoksXno=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:50:40.997Z,,,
https://www.google.com/maps/place/Matthew%27s+Plumbing+Solutions/data=!4m7!3m6!1s0x89ac5f92db0053cf:0x39a45e9c7535bdc1!8m2!3d35.7713501!4d-78.5591137!16s%2Fg%2F11dfsxw86r!19sChIJz1MA25JfrIkRwb01dZxepDk,Matthew's Plumbing Solutions,4.9,864,Plumber,"515 S New Hope Rd # 106, Raleigh, NC 27610, United States","QCCR+G9 Raleigh, North Carolina, USA",https://matthewsplumbingsolutions.com/?utm_source=gmb&utm_medium=organic,+1 919-977-1896,"Closed ⋅ Opens 8 am

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipPJdBZ8aNRS09R_z4uAfwgzUdZFAHsoAGsOhrFC=w408-h544-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:50:47.388Z,,,
https://www.google.com/maps/place/William+Parrish+Plumbing/data=!4m7!3m6!1s0x89ac934fdfec8079:0x139ffb4617307bbb!8m2!3d35.7806309!4d-78.635106!16s%2Fg%2F11ggbf2y98!19sChIJeYDs30-TrIkRu3swF0b7nxM,William Parrish Plumbing,4.9,1580,Plumber,"235 New Bern Pl #301, Raleigh, NC 27601, United States","Q9J7+7X Raleigh, North Carolina, USA",https://www.williamparrishplumbing.com/,+1 919-343-0783,"Closed ⋅ Opens 5 am

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipObeWmMvChawyPXU1VQNDIQF6fKIUBhEmbAHJbk=w426-h240-k-no,true,5 am–7 pm,5 am–7 pm,5 am–7 pm,5 am–7 pm,7 am–2 pm,7 am–1 pm,5 am–7 pm,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:50:52.360Z,,,
https://www.google.com/maps/place/Plumbing+Services+of+Raleigh/data=!4m7!3m6!1s0x89ac58596d3fe69d:0x208d3345dfef61a6!8m2!3d35.7979505!4d-78.6243795!16s%2Fg%2F11f2w5_wzq!19sChIJneY_bVlYrIkRpmHv30UzjSA,Plumbing Services of Raleigh,4.8,117,Plumber,,,https://plumbingservicesraleigh.com/,+1 919-689-6609,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipPV0FX63hraMd5JX7w5dy52JEpCBOclRY5bBHfU=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:50:57.292Z,,,
https://www.google.com/maps/place/Westover+Plumbing+LLC/data=!4m7!3m6!1s0x89acf5159fe0d11d:0x303f9e6d3e78479a!8m2!3d35.7910006!4d-78.7138516!16s%2Fg%2F11t3t_m9y5!19sChIJHdHgnxX1rIkRmkd4Pm2ePzA,Westover Plumbing LLC,4.9,119,Plumber,"5211 Hillsborough St, Raleigh, NC 27606, United States","Q7RP+CF Raleigh, North Carolina, USA",https://westoverplumbing.com/,+1 919-532-6676,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipMTPg3MVND988YhTztytCeY7BwPxEv4DtSatVzb=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:51:02.314Z,,,
https://www.google.com/maps/place/Mr.+Rooter+Plumbing+of+Raleigh/data=!4m7!3m6!1s0x89aec30d3523a07d:0xa4aedc12d873a7e3!8m2!3d35.790731!4d-78.7211562!16s%2Fg%2F1jkz03ps3!19sChIJfaAjNQ3DrokR46dz2BLcrqQ,Mr. Rooter Plumbing of Raleigh,4.7,749,Plumber,"805 Mt Vernon Rd Suite X, Raleigh, NC 27607, United States","Q7RH+7G Raleigh, North Carolina, USA",https://www.mrrooter.com/raleigh?cid=LSTL_MRR000199&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 984-844-5025,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipOBt4xqGrzv_m75lnVVncl7b4dlAQ60t-JeP7YJ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:51:07.580Z,,,
https://www.google.com/maps/place/ARS+%2F+Rescue+Rooter/data=!4m7!3m6!1s0x89acf5b5436e4c65:0xbb2ef23915073b59!8m2!3d35.7684082!4d-78.5569925!16s%2Fg%2F1x5qtn96!19sChIJZUxuQ7X1rIkRWTsHFTnyLrs,ARS / Rescue Rooter,4.5,6223,Heating contractor,"641 S New Hope Rd, Raleigh, NC 27610, United States","QC9V+96 Raleigh, North Carolina, USA",https://www.ars.com/raleigh?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,+1 919-367-3793,,https://lh3.googleusercontent.com/p/AF1QipPqUUpQAEsW9GXT1LlXI3zHMsZEVNib2ojctA29=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:51:12.624Z,,,
"https://www.google.com/maps/place/CK%27s+Plumbing+%26+Backflow,+LLC/data=!4m7!3m6!1s0x89ac5be47e91f37b:0x679ba98b56079bb6!8m2!3d35.8317967!4d-78.5855948!16s%2Fg%2F1tr18fgv!19sChIJe_ORfuRbrIkRtpsHVoupm2c","CK's Plumbing & Backflow, LLC",4.9,552,Plumber,"3800 Greywood Dr, Raleigh, NC 27604, United States","RCJ7+PQ Raleigh, North Carolina, USA",https://cksplumbing.com/?utm_source=gmb&utm_medium=organic,+1 919-995-8854,"Closed ⋅ Opens 7:30 am

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipP3EWZJS_f7Gid6puXDMXm56eXToLiCxGixvuFp=w426-h240-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:51:17.616Z,LGBTQ+ friendly,,
"https://www.google.com/maps/place/Midtown+Plumbing,+LLC/data=!4m7!3m6!1s0x89ac585f86945101:0x41f9c0782c070693!8m2!3d35.8621877!4d-78.5952749!16s%2Fg%2F1ptxyzp3t!19sChIJAVGUhl9YrIkRkwYHLHjA-UE","Midtown Plumbing, LLC",4.9,514,Plumber,"2660 Discovery Dr Ste 132, Raleigh, NC 27616, United States","VC63+VV Raleigh, North Carolina, USA",https://www.midtownplumbingllc.com/,+1 919-373-6788,"Closed ⋅ Opens 8 am

Veterans Day hours",https://lh3.googleusercontent.com/p/AF1QipNSQquuG7pIHus2SL5SVaEKbrStH0jt76fKwdf2=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:51:22.493Z,,,
"https://www.google.com/maps/place/Raleigh+Plumbing+%26+Heating,+Inc./data=!4m7!3m6!1s0x89ac5c314992615d:0x6ea32b23e0a10308!8m2!3d35.7652417!4d-78.5493297!16s%2Fg%2F1td_615d!19sChIJXWGSSTFcrIkRCAOh4CMro24","Raleigh Plumbing & Heating, Inc.",4.9,277,Plumber,"5060 Trademark Drive, Raleigh, NC 27610, United States","QF82+37 Raleigh, North Carolina, USA",http://raleighplumbingandheatingincnc.hibuwebsites.com/,+1 919-535-4029,"Closed ⋅ Opens 8 am

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipPyMPIDQ6Dy7Fmua_Ds6E66HUJ7Jplxtl4pon88=w408-h270-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/plumbing++services+in+Raleigh+Raleigh+NC/@35.7795897,-78.6381787,14z",2025-11-11T05:51:27.767Z,,,
