placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error,attributes
https://www.google.com/maps/place/Arizona+Vein+Specialists/data=!4m7!3m6!1s0x872b7177df0b6bf9:0xc7acf49f29ff5ae!8m2!3d33.6364089!4d-111.9773444!16s%2Fg%2F1hc74nd9g!19sChIJ-WsL33dxK4cRrvWf8knPegw,Arizona Vein Specialists,4.8,57,Medical clinic,"16421 N Tatum Blvd Suite 121, Phoenix, AZ 85032, United States","J2PF+H3 Phoenix, Arizona, USA",https://www.azveindoctor.com/?utm_source=google&utm_medium=gmb,+1 480-945-0910,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNHowABNjW8VIbDrkpBUaO0AVuGZJ3reu2fSwho=w408-h300-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,Closed,Closed,10 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:14.967Z,,,
https://www.google.com/maps/place/United+Vein+%26+Vascular+Centers/data=!4m7!3m6!1s0x872b7199b1b3a8e5:0xba1c087b9fc9f96f!8m2!3d33.6400707!4d-112.0000357!16s%2Fg%2F11h820m1ss!19sChIJ5aizsZlxK4cRb_nJn3sIHLo,United Vein & Vascular Centers,4.7,67,Medical clinic,"3805 E Bell Rd Suite 4100, Phoenix, AZ 85032, United States","JXRX+2X Phoenix, Arizona, USA",https://unitedveincenters.com/find-a-clinic/arizona/paradise-valley/?utm_campaign=directory,+1 480-576-5819,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNeSFresqpq1Ldx1_72uuwhRJnxCC6SEw30-H-3=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:19.602Z,,,
https://www.google.com/maps/place/Apex+Vein+and+Vascular+Institute/data=!4m7!3m6!1s0x872b7174408e7b69:0xf1cc43cbc477335b!8m2!3d33.6421092!4d-111.983502!16s%2Fg%2F11sgl7c8d1!19sChIJaXuOQHRxK4cRWzN3xMtDzPE,Apex Vein and Vascular Institute,4.9,62,Medical clinic,"4550 E Bell Rd Suite 280 Building 8, Phoenix, AZ 85032, United States","J2R8+RH Phoenix, Arizona, USA",https://apexveinandvascular.com/,+1 623-252-4495,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipM79nmurzutjKEgiVho3jfmF-kf4Us1YQwQ1Pcu=w408-h337-k-no,true,8 am–3 pm,8 am–3 pm,8 am–3 pm,8 am–3 pm,8 am–3 pm,Closed,8 am–3 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:23.942Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Phoenix+Elite+Vein+Clinic/data=!4m7!3m6!1s0x872b0de1909bc2cd:0x7ca2c41c516213f4!8m2!3d33.4872529!4d-112.0458573!16s%2Fg%2F11nn3rsb20!19sChIJzcKbkOENK4cR9BNiURzEonw,Phoenix Elite Vein Clinic,4.9,116,Surgical center,"1641 E Osborn Rd STE 4, Phoenix, AZ 85016, United States","FXP3+WM Phoenix, Arizona, USA",https://eliteveinclinic.com/?utm_campaign=gmb,+1 480-571-4067,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPlzdTMb5niBTxXvsgwPB8Ylig7r6_Ha5BkJZZ6=w408-h272-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:28.689Z,,,
https://www.google.com/maps/place/Scottsdale+Elite+Vein+Clinic/data=!4m7!3m6!1s0x872b0b3ac32ada93:0x64abdaebaaea925b!8m2!3d33.5794001!4d-111.8824833!16s%2Fg%2F11j2y2m20l!19sChIJk9oqwzoLK4cRW5Lqquvaq2Q,Scottsdale Elite Vein Clinic,5.0,126,Vascular surgeon,"10210 N 92nd St # 103, Scottsdale, AZ 85258, United States","H4H9+Q2 Scottsdale, Arizona, USA",https://eliteveinclinic.com/locations/varicose-veins-scottsdale/?utm_campaign=gmb,+1 480-571-9350,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNcJUFCMNHW302Cu2VHlJbGWWC6ROkXZuwRe9jO=w408-h408-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:33.007Z,,,
https://www.google.com/maps/place/Southwest+Vein+%26+Laser+Institute/data=!4m7!3m6!1s0x872b7179a4bd3bd5:0xd21491852e6d9166!8m2!3d33.6374998!4d-111.995614!16s%2Fg%2F1tfvzm4y!19sChIJ1Tu9pHlxK4cRZpFtLoWRFNI,Southwest Vein & Laser Institute,4.5,2,Medical clinic,"16601 N 40th St # 226, Phoenix, AZ 85032, United States","J2P3+XQ Phoenix, Arizona, USA",http://swveinlaser.com/,+1 602-264-7741,Closes soon · 4 pm · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ttDkgH86cdwOyIn1_z10_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.15644&pitch=0&thumbfov=100,false,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:37.353Z,,,
https://www.google.com/maps/place/Vein+Envy+of+Phoenix/data=!4m7!3m6!1s0x872b6f0e5600bc0f:0x217bbee076694a88!8m2!3d33.6682776!4d-112.100501!16s%2Fg%2F11rcwmxyqq!19sChIJD7wAVg5vK4cRiEppduC-eyE,Vein Envy of Phoenix,4.9,109,Surgical center,"20040 N 19th Ave Suite D, Phoenix, AZ 85027, United States","MV9X+8Q Phoenix, Arizona, USA",https://www.veinenvy.com/location/arizona/vein-clinic-phoenix-az?utm_source=google&utm_medium=local&utm_campaign=gbp&utm_content=phoenix,+1 623-294-2868,Closes soon · 4 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipP7cORTLnQTmckmg4wonG7KDRTCA378J43reu2W=w516-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:41.933Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Arizona+Vein+%26+Laser+Institute/data=!4m7!3m6!1s0x872b750168b379e5:0xa31564a24a9797fe!8m2!3d33.5805097!4d-111.8828956!16s%2Fg%2F11j79whrvt!19sChIJ5XmzaAF1K4cR_peXSqJkFaM,Arizona Vein & Laser Institute,4.6,75,Surgical center,"10250 N 92nd St Suite 203, Scottsdale, AZ 85258, United States","H4J8+6R Scottsdale, Arizona, USA",https://veinandvascularaz.com/locations/scottsdale-2/,+1 480-597-7231,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNCBNr-jRASo0p4YgmlZ2vi3r5oOwJpqbBVJ9KJ=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:46.849Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Arizona+Vein+%26+Laser+Institute+-+Phoenix/data=!4m7!3m6!1s0x872b121397209479:0xaa912af7adac7645!8m2!3d33.463441!4d-112.064343!16s%2Fg%2F11bzq4bd8c!19sChIJeZQglxMSK4cRRXasrfcqkao,Arizona Vein & Laser Institute - Phoenix,4.8,176,Medical clinic,"1331 N 7th St UNIT 170, Phoenix, AZ 85006, United States","FW7P+97 Phoenix, Arizona, USA",http://veinandvascularaz.com/,+1 602-730-3519,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxfeE4f2SYGtTmmqv1qG1F4YEsBHVILYlH5oWLMzJB0D3aCde95rrDtFjFqWwIERMgYTXltRw0OJu6MghIRFgdIi2m4ryHItcuGsy9TW9iu_uHdcJbBhAq-BKP4tFBoQlinEzK0f9t3AD_s=w408-h306-k-no,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:51.347Z,,,
https://www.google.com/maps/place/Optima+Vein+Care/data=!4m7!3m6!1s0x872b75d6526ae6e5:0x19eaeec86b4f3cf2!8m2!3d33.6449396!4d-111.8938058!16s%2Fg%2F1td0bdkp!19sChIJ5eZqUtZ1K4cR8jxPa8ju6hk,Optima Vein Care,4.7,23,Medical clinic,"8575 E Princess Dr #117, Scottsdale, AZ 85255, United States","J4V4+XF Scottsdale, Arizona, USA",http://www.optimaveincare.com/,+1 480-496-2696,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSya9-hxyIxE9HyTtURHXfX72FhRBcKeXFFHviu5gyLj3ExMMnptWE7SDJRrnAeUkWA0_E8apXYqjLxKozU7excHb6p78UHKNfujhD-N59HeDnCPxUSZR6xqOt5QMFtIUC9yhNjPwQ=w546-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Paradise+Valley+Phoenix+AZ/@33.6111814,-111.9760964,14z",2025-12-16T22:16:55.732Z,,,
