placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,isBlackOwned,error
"https://www.google.com/maps/place/Jacqueline+Weisbein,+DO/data=!4m7!3m6!1s0x808506e791362e15:0x739d221d245d327e!8m2!3d38.3204649!4d-122.3013989!16s%2Fg%2F1263vf9v7!19sChIJFS42kecGhYARfjJdJB0inXM","Jacqueline Weisbein, DO",4.8,253,Pain management physician,"3273 Claremont Way, Napa, CA 94558, United States","8MCX+5C Napa, California, USA",http://drweisbein.com/,+1 707-254-7117,Open · Closes 5 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOtMB_IZTj4setAZyr25DpoOYSJ7mAXeWw7mjXu=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:08.743Z,,
https://www.google.com/maps/place/Napa+Pain+Institute/data=!4m7!3m6!1s0x808506c187ac1b0b:0x5832c0ce87918717!8m2!3d38.3253607!4d-122.2933323!16s%2Fg%2F1vy7gt28!19sChIJCxush8EGhYARF4eRh87AMlg,Napa Pain Institute,3.5,50,Pain control clinic,"3434 Villa Ln STE 150, Napa, CA 94558, United States","8PG4+4M Napa, California, USA",http://www.napapaininstitute.com/,+1 707-252-9660,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMZOOJ9EbWJTxsI5kNIuASLvCC_jjwE4r2CQDTl=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:13.401Z,,
https://www.google.com/maps/place/California+Pain+Specialists/data=!4m7!3m6!1s0x8085079837536505:0x8feae7574ca8c547!8m2!3d38.3231259!4d-122.2948322!16s%2Fg%2F11hmr9nx1h!19sChIJBWVTN5gHhYARR8WoTFfn6o8,California Pain Specialists,4.0,3,Pain management physician,"935 Trancas St #2c, Napa, CA 94558, United States","8PF4+73 Napa, California, USA",https://www.needpaindoc.com/,+1 707-346-4444,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipPiExn8CU_bw5hsC6bIAg5cUZfB2g03i-8aY1Q3=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,8 am–4 pm,8 am–4 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:17.768Z,,
"https://www.google.com/maps/place/Eric+J+Grigsby,+MD/data=!4m7!3m6!1s0x808506c187ac1b0b:0x1054ed2ba8b9f2e3!8m2!3d38.3253536!4d-122.2936076!16s%2Fg%2F1tdm8j_d!19sChIJCxush8EGhYAR4_K5qCvtVBA","Eric J Grigsby, MD",4.6,11,Pain management physician,"3434 Villa Ln C-150, Napa, CA 94558, United States","8PG4+4H Napa, California, USA",http://napapaininstitute.com/,+1 707-252-9660,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer7vSFqShHE__W2ixXqRQ_99hh6Yurogu-w2bQ7DMGQY3Q1RT9tKx9Fgw6kWTSkBfh9hKShc1jc1rbMMq3wSHdWMHc8ZHvtBW3lc_Nk07i7b6hTz6KmjP4rj3MRBI7klof9hcWx2A=w408-h272-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:22.506Z,,
"https://www.google.com/maps/place/Jason+Pope,+MD/data=!4m7!3m6!1s0x808506c187ac1b0b:0x63f7ea18498861fa!8m2!3d38.3235353!4d-122.2985409!16s%2Fg%2F1td058f3!19sChIJCxush8EGhYAR-mGISRjq92M","Jason Pope, MD",1.0,2,Pain management physician,"1100 Trancas St STE 250, Napa, CA 94558, United States","8PF2+CH Napa, California, USA",,+1 707-253-1135,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMcOHlNaIBwFvYA_1eLOdtgjgvfGPCOmpErRB2l=w408-h509-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:26.821Z,,
https://www.google.com/maps/place/Napa+Pain+clinic/data=!4m7!3m6!1s0x8085072e09f54a7b:0x911a25c136732c87!8m2!3d38.3254631!4d-122.2937418!16s%2Fg%2F11n14sb9hm!19sChIJe0r1CS4HhYARhyxzNsElGpE,Napa Pain clinic,4.0,1,Doctor,"3434 Villa Ln, Napa, CA 94558, United States","8PG4+5G Napa, California, USA",https://napapaininstitute.com/,,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepf0zhByvAPRd4f1-GfbQ8luXXvR3UGqjU5xwDVLd5ACuhAAgHkIYlQtb7gRjHSpoBcSJ4n3ijsUNMLk2zuti7zYCYhu-dtcWSo9w-7FeRbmTgA89HssL1HtWaN4XvqjfXF9QA=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:31.050Z,,
"https://www.google.com/maps/place/Philip+Shumsky,+MD/data=!4m7!3m6!1s0x80850748a8df596f:0xe5d0ac169fae134b!8m2!3d38.3235353!4d-122.2985409!16s%2Fg%2F11smzxd601!19sChIJb1nfqEgHhYARSxOunxas0OU","Philip Shumsky, MD",2.5,6,Pain management physician,"1100 Trancas St STE 250, Napa, CA 94558, United States","8PF2+CH Napa, California, USA",https://doctors.adventisthealth.org/provider/Philip+Michael+Shumsky/2056154,+1 707-253-1135,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipOjBOlH6mDImLsVuSxOUvtOxXju7PycOXlAQpTG=w408-h507-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:35.511Z,,
https://www.google.com/maps/place/Dr.+Lucas+Campos+M.D.+Ph.D./data=!4m7!3m6!1s0x80843814042a83a9:0x9086c9009f6c9a71!8m2!3d38.3228831!4d-122.2980501!16s%2Fg%2F11hb0b697z!19sChIJqYMqBBQ4hIARcZpsnwDJhpA,Dr. Lucas Campos M.D. Ph.D.,1.0,1,Pain management physician,"935 Trancas St STE 4B, Napa, CA 94558, United States","8PF2+5Q Napa, California, USA",https://www.needpaindoc.com/,+1 707-346-4444,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pQXy5rzPlUuRgItmkJK7wQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.24625&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–4 pm,9 am–4 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:39.859Z,,
https://www.google.com/maps/place/Napa+Valley+Orthopedic+Medical/data=!4m7!3m6!1s0x808506e790f8d91d:0x294a8a13eac900e4!8m2!3d38.320436!4d-122.3012757!16s%2Fg%2F1ths9l4n!19sChIJHdn4kOcGhYAR5ADJ6hOKSik,Napa Valley Orthopedic Medical,4.9,801,Orthopedic surgeon,"3273 Claremont Way STE 100, Napa, CA 94558, United States","8MCX+5F Napa, California, USA",https://www.napavalleyortho.com/,+1 707-254-7117,Open · Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipNHl_gEhSrYw85cZzcrQJEs4F4J-b00ORBpbIDl=w408-h270-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:44.431Z,,
https://www.google.com/maps/place/Marko+Bodor+MD/data=!4m7!3m6!1s0x808506c1f888498d:0x5bd23d3de368f88d!8m2!3d38.3243658!4d-122.2941957!16s%2Fg%2F1thpx1fp!19sChIJjUmI-MEGhYARjfho4z090ls,Marko Bodor MD,4.5,47,Sports medicine physician,"3421 Villa Ln, Napa, CA 94558, United States","8PF4+P8 Napa, California, USA",http://www.bodorclinic.com/,+1 707-255-5454,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep7SuLLl82fd6np4JCqWbjDaVCi1uSqfEuRbjG3IgpEFtHLlXSdO6pXsIN9PclWEztzhOGM7qh39F2bVskN8NIR3b6rj9nm3XXBkfxxsX09oeNVhpVwHn9_BjrsdTsMttk2Olu9jg=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–3 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2026-01-28T19:12:48.840Z,,
