placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Eau+Claire+Tree+Service/data=!4m7!3m6!1s0x87f8942983fbdcd7:0xeb0628fffee9e054!8m2!3d44.763308!4d-91.564842!16s%2Fg%2F1w0j04zl!19sChIJ19z7gymU-IcRVODp_v8oBus,Eau Claire Tree Service,4.7,66,Tree service,"W3801 Service Rd, Eau Claire, WI 54701, United States","QC7P+83 Eau Claire, Wisconsin, USA",https://eauclairetreeservice.com/,+1 715-834-5239,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7qWgB9q80AdQvc8NR9ZOXI9L5HPYRtYUkbT0fR93G-zLQDOaYJZUNUlwk1_WOp744PtDVeS5ILKZoWpOiyUB1JR4EeI9aEH2ImHnLKv4NWqwJB1xY2WkAPEiR3GZdfFwKdsI=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:34:23.680Z,,,
https://www.google.com/maps/place/A+Cut+Above+Tree+Service+LLC/data=!4m7!3m6!1s0x87f8bc64bb977389:0x758812e26f521e13!8m2!3d44.798432!4d-91.453977!16s%2Fg%2F11g9nq_b0x!19sChIJiXOXu2S8-IcREx5Sb-ISiHU,A Cut Above Tree Service LLC,4.8,5,Tree service,"1228 S Willson Dr, Altoona, WI 54720, United States","QGXW+9C Altoona, Wisconsin, USA",http://treeserviceeauclaire.com/,+1 715-829-3991,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdpoINUyR5xQ5KMoxxlBCOCDkTqmOXbW2WcUy0U_QDf2oNjGBJFZjtNgFR1D5sx8pHYcYG3T0Ugi6N4Vd-vuza9H_M-cA2eRbR9kykz9CwoNxX-7bpP_LXt2yO3J_ZZgI_dC_S=w408-h680-k-no,true,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:34:27.251Z,,,
https://www.google.com/maps/place/Arbor+Oaks+Tree+Service/data=!4m7!3m6!1s0xdb5f881daab0ef9:0x1a56b39e0c52747f!8m2!3d44.749484!4d-91.450118!16s%2Fg%2F11w9yvy6ng!19sChIJ-Q6r2oH4tQ0Rf3RSDJ6zVho,Arbor Oaks Tree Service,5.0,124,Tree service,"5791 Friedeck Rd, Eau Claire, WI 54701, United States","PGXX+QX Eau Claire, Wisconsin, USA",https://www.arboroakstreeservice.com/,+1 715-229-6595,"Closed · Opens 7 am Wed

Updated by others 11 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHuJ28RVKKNc1jVUg41Vj8Ptct7h5Tx6v6fxbdUhFUcid7eo4iXgZFnPuDGGQPE6Hk87eAm5iOU1WD06Goau_QNhbMxGgm_0ICykDUptrXFnaPg8A7PT5TqZsbe0hWWcSDSN4Ea=w408-h306-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:34:32.581Z,,,
https://www.google.com/maps/place/KrusinKings+Tree+Service+LLC/data=!4m7!3m6!1s0x5f5b8e4faee0a81:0xe595b7cb65289c27!8m2!3d44.4751949!4d-91.249235!16s%2Fg%2F11y5ctgl98!19sChIJgQru-uS49QURJ5woZcu3leU,KrusinKings Tree Service LLC,5.0,66,Tree service,,,http://krusinkingtrees.com/,+1 715-299-2228,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEdX8zv4ZVkf0AwYRKs62T8dI2yiQT7OLF-ergDAOqG-_JdYqpa0ecP7W6cARvKecKKQgpELl4YYxYVMZfvC49IfLPaK8ln86kMb0zaezBo83ry2V07SyFlU984FwqgfPL22G5-tWLhA8DP=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:34:37.207Z,,,
https://www.google.com/maps/place/Chippewa+Valley+Tree+Care+LLC/data=!4m7!3m6!1s0x87f8bd0ce6a9724f:0xc29747d395d237c2!8m2!3d44.8100646!4d-91.5000742!16s%2Fg%2F1tf43j8l!19sChIJT3Kp5gy9-IcRwjfSldNHl8I,Chippewa Valley Tree Care LLC,3.7,3,Tree service,"Eau Claire, WI 54702, United States","RF6X+2X Eau Claire, Wisconsin, USA",,+1 715-829-1113,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D4CZdzTj87sInXW3kF1O6w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=265.31363&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:34:39.919Z,,,
https://www.google.com/maps/place/A%2B+Services/data=!4m7!3m6!1s0x87f8bbe6f46a4029:0x62b761410ab8c0a4!8m2!3d44.767273!4d-91.545468!16s%2Fg%2F11gr5jvk9w!19sChIJKUBq9Oa7-IcRpMC4CkFht2I,A+ Services,5.0,9,Landscaper,,,https://aplusservicesec.com/,+1 715-579-2632,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKDIKlN0vvRPpappanTYnm-zyJOQ6wox18dBzQAJBJcDNzVT7TX1SumnCaPo9SRVGGR0rT7Dq7TUY6c3lZn9tlE_f-CSArpG1OAbghnI7SnqnK4Nz273M-4m0JEl-hVOqDH_QT=w493-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:34:44.609Z,,,
https://www.google.com/maps/place/Naturescape+Lawn+and+Landscape+Care/data=!4m7!3m6!1s0x87f89623c21168a1:0xf013d1a28f9828cb!8m2!3d44.7865336!4d-91.5274608!16s%2Fg%2F113fwycmb!19sChIJoWgRwiOW-IcRyyiYj6LRE_A,Naturescape Lawn and Landscape Care,4.7,44,Lawn care service,"3017 Mondovi Rd, Eau Claire, WI 54701, United States","QFPF+J2 Eau Claire, Wisconsin, USA",https://naturescapelawncare.com/locations/wi-eau-claire/,+1 715-318-4510,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFENpzCT-iNnAH6rGHevNO0h094lQtBdMZ5kvjmr0qyhx1WCGjB0igEugDW3yyM-7y2bP0Uhq97RDf22yLwQ7TJd9IdKXc-gOxnkGl2fQSfrG_tI9XuWhZ3pRaw_Tosk9pfapWqyw=w486-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:34:49.327Z,,,
"https://www.google.com/maps/place/Big+Rivers+Tree+Service/@44.808831,-91.4812495,12z/data=!3m1!4b1!4m6!3m5!1s0x87f897f613388417:0x8463d0672ca502f9!8m2!3d44.808831!4d-91.4812495!16s%2Fg%2F11fl78kvxj",Big Rivers Tree Service,4.4,9,Tree service,,,,+1 715-829-4011,Closed · Opens 7 am Wed,,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:34:55.936Z,,,
https://www.google.com/maps/place/All-Affordable+Tree+Service+%26+Landscapes/data=!4m7!3m6!1s0x87f8964781a1a267:0x268916a5f570200e!8m2!3d44.808831!4d-91.4812495!16s%2Fg%2F1tdd5tzh!19sChIJZ6KhgUeW-IcRDiBw9aUWiSY,All-Affordable Tree Service & Landscapes,4.9,34,Tree service,,,https://www.facebook.com/All-Affordable-Tree-Service-Landscapes-303256186798204/,+1 715-415-5687,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHWBbP9Wn2_8LlngCHx3WhVUZadaDuIoEC1M9VYRWOb2B-DSj9Yq41BVREEZqZdLJmUPutWE7qguQewD22crcM_wI9LLZOCR2h-BC_j_GddneXcK3NWSorHvLSkLDOiBs6ZJticBQ=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:35:00.975Z,,,
https://www.google.com/maps/place/Greener+Pastures+Tree+Service/data=!4m7!3m6!1s0x87f8a37c6cc76481:0x365af45c878c426f!8m2!3d44.852236!4d-91.4687091!16s%2Fg%2F11rkbfv48n!19sChIJgWTHbHyj-IcRb0KMh1z0WjY,Greener Pastures Tree Service,5.0,3,Tree service,,,https://ectreeandstump.com/,+1 715-318-4596,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLrk0h_WvlyVoexbhH93Xby-KS9aKMCgmtz47C1xx_JvC11oBHK8NHvu-SZpoFPYkm0QoDvQa9e8o33w2ajRzv1KhBfgJY3sHsr1bENcDV4j_uvQlQcSyjTvqYw6JGcHoCFW4=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Eau+Claire+Eau+Clair+WI/@44.811349,-91.4984941,14z",2026-04-29T04:35:05.599Z,,,
