placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/UofL+Physicians+%E2%80%93+Psychiatry+%26+Depression+Center/data=!4m7!3m6!1s0x886973ce0b40748d:0x1dea9c1e7baf70f4!8m2!3d38.248105!4d-85.7468853!16s%2Fg%2F11qpz2s8mw!19sChIJjXRAC85zaYgR9HCvex6c6h0,UofL Physicians – Psychiatry & Depression Center,4.9,148,Specialized clinic,"401 E Chestnut St Suite 610, Louisville, KY 40202, United States","67X3+66 Louisville, Kentucky, USA",https://uoflhealth.org/locations/uofl-physicians-psychiatry-depression-center/,+1 502-588-4450,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jrP8teuSdO8gq8aaN15LmQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=105.99337&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:15.157Z,,,
https://www.google.com/maps/place/Ally+Psychiatry+-+Louisville/data=!4m7!3m6!1s0x886973bfc96cfcbd:0x8ac3cb2a194a58e4!8m2!3d38.2417536!4d-85.7317872!16s%2Fg%2F11p67j_j7q!19sChIJvfxsyb9zaYgR5FhKGSrLw4o,Ally Psychiatry - Louisville,4.6,328,Mental health service,"801 Barret Ave Ste. 110, Louisville, KY 40204, United States","67R9+P7 Louisville, Kentucky, USA",http://www.allypsychiatry.com/,+1 502-792-0275,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSypAuHuXXRk8UJ-yQ-E5zl902Cg8sNAzrzgr5FqUsv6HQfusTTFopJ_zy53GCzwiZo1I-FiP6C50szJQ8TFMVutgqt4XvtrwcRYyuyHx3Xp2pZbFUeQPaUKkjWcM5_uiI13Vmzk=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:20.944Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/UofL+Physicians-Psychiatry/data=!4m7!3m6!1s0x886972b7d1c06f2b:0xe96c781028fdd2f7!8m2!3d38.2480521!4d-85.7467891!16s%2Fg%2F11clstsxxm!19sChIJK2_A0bdyaYgR99L9KBB4bOk,UofL Physicians-Psychiatry,2.5,42,Psychiatrist,"401 E Chestnut St #710, Louisville, KY 40202, United States","67X3+67 Louisville, Kentucky, USA",http://www.uoflphysicians.com/psychiatry?tab=our-locations,+1 502-588-4450,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zjuPNJz9rqmktJXWHIxg1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=8.0811405&pitch=0&thumbfov=100,false,8 am–4:45 pm,8 am–4:45 pm,8 am–4:45 pm,8 am–4:45 pm,8 am–4:45 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:25.731Z,,,
https://www.google.com/maps/place/Va+Mental+Health/data=!4m7!3m6!1s0x88697371c70942fb:0x19fad744e8b9f8f0!8m2!3d38.2705049!4d-85.6971305!16s%2Fg%2F1tf7n98p!19sChIJ-0IJx3FzaYgR8Pi56ETX-hk,Va Mental Health,5.0,1,Mental health clinic,"800 Zorn Ave, Louisville, KY 40206, United States","78C3+64 Louisville, Kentucky, USA",http://www.mentalhealth.va.gov/,+1 502-287-5915,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SBPIX9pBS_Df0-6Bg6u8kw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=317.97217&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:30.534Z,,,
https://www.google.com/maps/place/Family+%26+Childrens+Mental+Health/data=!4m7!3m6!1s0x886972b4b98eb481:0xa37fcea7d0ca81d7!8m2!3d38.240632!4d-85.7503187!16s%2Fg%2F1tfzhht2!19sChIJgbSOubRyaYgR14HK0KfOf6M,Family & Childrens Mental Health,4.3,19,Mental health service,"302 E Breckinridge St, Louisville, KY 40203, United States","66RX+7V Louisville, Kentucky, USA",,+1 502-561-1112,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-hnx81pVev126FWHwfzOCw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=188.66988&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:33.386Z,,,
https://www.google.com/maps/place/Norton+Hospital+Adult+Psychiatric+Unit/data=!4m7!3m6!1s0x886972b0d0fd3eef:0x4f75e055d193223d!8m2!3d38.2477538!4d-85.7507854!16s%2Fg%2F1tjtj_zv!19sChIJ7z790LByaYgRPSKT0VXgdU8,Norton Hospital Adult Psychiatric Unit,2.6,11,Mental health service,"200 E Chestnut St #6E, Louisville, KY 40202, United States","66XX+4M Louisville, Kentucky, USA",,+1 502-629-6700,Closed · Opens 9 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Oj0SGksn8JdQyPEVY54nAA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=153.9151&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:38.137Z,,,
https://www.google.com/maps/place/Norton+Behavioral+Health+-+Broadway/data=!4m7!3m6!1s0x88696ddd8e64be59:0x44757531c5b7fe9a!8m2!3d38.2483221!4d-85.781159!16s%2Fg%2F11n5sr9wxd!19sChIJWb5kjt1taYgRmv63xTF1dUQ,Norton Behavioral Health - Broadway,5.0,4,Mental health clinic,"1720 W Broadway, Louisville, KY 40203, United States","66X9+8G Louisville, Kentucky, USA",https://nortonhealthcare.com/location/LOC0000191721?utm_source=Yext,+1 502-446-5610,,https://lh3.googleusercontent.com/p/AF1QipMZoeJst6SHk7ymrV-imlk5080IOuIkv9iSbznz=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:41.062Z,,,
https://www.google.com/maps/place/Transformative+Justice+Mental+Health+Clinic/data=!4m7!3m6!1s0x8869734070fbe83d:0xbe45c252490443b7!8m2!3d38.2574051!4d-85.7044299!16s%2Fg%2F11vk2lzd8t!19sChIJPej7cEBzaYgRt0MESVLCRb4,Transformative Justice Mental Health Clinic,5.0,1,Mental health clinic,"225 N Clifton Ave, Louisville, KY 40206, United States","774W+X6 Louisville, Kentucky, USA",http://transformativejustice.co/,+1 502-496-4928,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_m3RlFQVn-m3WGnwHi2_aA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=188.5216&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:43.901Z,,,
https://www.google.com/maps/place/Bridgehaven+Mental+Health+Services/data=!4m7!3m6!1s0x88690d4d310be9a3:0x37fb2d651a41e228!8m2!3d38.2395088!4d-85.7547894!16s%2Fg%2F1tfp_k_4!19sChIJo-kLMU0NaYgRKOJBGmUt-zc,Bridgehaven Mental Health Services,3.3,33,Mental health service,"950 S 1st St, Louisville, KY 40203, United States","66QW+R3 Louisville, Kentucky, USA",http://www.bridgehaven.org/,+1 502-585-9444,Closed · Opens 8:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipMl8IlijDOMjAb6RL-_a2NXWeomozrgIB9G9dqH=w408-h240-k-no,true,8:30 am–3:30 pm,8:30 am–3:30 pm,8:30 am–3:30 pm,8:30 am–3:30 pm,8:30 am–3:30 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:48.874Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Norton+Children%27s+Behavioral+and+Mental+Health+-+Bingham+Clinic/data=!4m7!3m6!1s0x886973e0d34bf725:0x149759d75da39568!8m2!3d38.2477538!4d-85.7507854!16s%2Fg%2F11jp1bwzc8!19sChIJJfdL0-BzaYgRaJWjXddZlxQ,Norton Children's Behavioral and Mental Health - Bingham Clinic,3.5,8,Psychologist,"200 E Chestnut St, Louisville, KY 40202, United States","66XX+4M Louisville, Kentucky, USA",https://nortonchildrens.com/location/LOC0000191768/?utm_source=Yext,+1 502-588-0800,"Closed · Opens 8 am Tue

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPJ2W-qJ_f9PlaOLslFSFqfI3tgi364Zp_d0XdI=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2025-12-16T02:24:54.009Z,,,
