placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Angel+Pools/data=!4m7!3m6!1s0x883b335e9d61acb1:0x9e334075565dae4!8m2!3d42.3103451!4d-83.1024383!16s%2Fg%2F11jcmxjbrf!19sChIJsaxhnV4zO4gR5NplVQc04wk,Angel Pools,4.4,13,Swimming pool contractor,"1042 Military St, Detroit, MI 48209, United States","8V6X+42 Detroit, Michigan, USA",,+1 313-655-0565,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOLYJTjWr-vUmsIhfYwawYFJ3MhQg7_hpcTdk-N=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:39:51.368Z,,,
https://www.google.com/maps/place/Boll+Family+YMCA/data=!4m7!3m6!1s0x883b2d321d89f26f:0x834d58ae734dfaad!8m2!3d42.33557!4d-83.0480185!16s%2Fg%2F1tdg3wyr!19sChIJb_KJHTItO4gRrfpNc65YTYM,Boll Family YMCA,4.5,395,Gym,"1401 Broadway St #3a, Detroit, MI 48226, United States","8XP2+6Q Detroit, Michigan, USA",https://ymcadetroit.org/boll/,+1 313-309-9622,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy57pnz6HBYmBSnFBpMqYqfZfKIGHDheFt0uj8TapNRhHXgcM_Xcd_wzBfa9gvjH8lDTPY4WZXKLVUJZT8NQdmXab14kF5-NeyROOvLyQTxsxrWw3SCYLPBTxYnQvUzEIxd0HL38A=w408-h544-k-no,true,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:39:57.957Z,,,
"https://www.google.com/maps/place/Pool+Liners+of+America+Detroit/@42.352595,-83.0991151,11z/data=!3m1!4b1!4m6!3m5!1s0x8824d151c25c4c69:0xc12b781491018587!8m2!3d42.352595!4d-83.0991151!16s%2Fg%2F11fqvcwcf5",Pool Liners of America Detroit,5.0,1,Swimming pool contractor,,,,+1 313-246-4919,Open ⋅ Closes 7 pm,,true,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,6 am–7 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:04.904Z,,,
https://www.google.com/maps/place/Classic+Pool+Plastering/data=!4m7!3m6!1s0x883b32e6019f66e7:0xda9f9885666668c9!8m2!3d42.3198982!4d-83.1113946!16s%2Fg%2F11fnypk39s!19sChIJ52afAeYyO4gRyWhmZoWYn9o,Classic Pool Plastering,4.1,21,Swimming pool contractor,"6211 Plumer St, Detroit, MI 48209, United States","8V9Q+XC Detroit, Michigan, USA",http://www.classicpoolplastering.com/,+1 313-355-2888,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNvPQ7TFmddEqNQRBOqFwhu97Vttf22PK87OGnp=w408-h544-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–12 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:09.975Z,,,
https://www.google.com/maps/place/Cali+Pool+Services/data=!4m7!3m6!1s0x254e47f4deedaaf:0xf4a0163e55609463!8m2!3d42.3099392!4d-83.0039285!16s%2Fg%2F11q4j1_lnr!19sChIJr9ruTX_kVAIRY5RgVT4WoPQ,Cali Pool Services,4.8,5,Pool cleaning service,"1975 Oneida Ct, Windsor, ON N8Y 1T1, Canada","8X5W+XC Windsor, Ontario, Canada",http://calipools.ca/,+1 226-444-8828,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPuZ_tp04KQ49IEnv8HghuqosoOFJmnQ6HbVcTp=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:15.278Z,Identifies as women-owned,,
https://www.google.com/maps/place/Detroit+Marriott+at+the+Renaissance+Center/data=!4m10!3m9!1s0x883b2d2643d2fcf9:0x2e2af1d880fbd4df!5m2!4m1!1i2!8m2!3d42.328545!4d-83.040734!16s%2Fg%2F122yh8r4!19sChIJ-fzSQyYtO4gR39T7gNjxKi4,Detroit Marriott at the Renaissance Center,4.1,6299,,"Renaissance Center, 400 Renaissance Dr W, Detroit, MI 48243, United States","8XH5+CP Detroit, Michigan, USA",https://www.marriott.com/en-us/hotels/dtwdt-detroit-marriott-at-the-renaissance-center/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+1 313-568-8000,,https://lh3.googleusercontent.com/p/AF1QipMiPbWTARMGMSpIkY0lzrDlGCVXCgZAOGsYpmnt=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:18.755Z,,,
https://www.google.com/maps/place/MGM+Grand+Detroit/data=!4m10!3m9!1s0x883b2d47f292addd:0x1d87f973440be04b!5m2!4m1!1i2!8m2!3d42.3335223!4d-83.0602009!16zL20vMDc3cDRy!19sChIJ3a2S8kctO4gRS-ALRHP5hx0,MGM Grand Detroit,4.2,23016,,"1777 3rd Ave, Detroit, MI 48226, United States","8WMQ+CW Detroit, Michigan, USA",https://mgmgranddetroit.mgmresorts.com/en.html?ecid=GMB_MD_HO,+1 877-888-2121,,https://lh3.googleusercontent.com/p/AF1QipNWq-KhN6Nj3iAKdIFdM4fK2nG3folv-6tfk2E9=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:22.355Z,,,
https://www.google.com/maps/place/Detroit+Commercial+Cleaners/data=!4m7!3m6!1s0x45b27c39d2731f57:0x4e5425e639aa73ec!8m2!3d42.284125!4d-83.151111!16s%2Fg%2F11y2nkp44j!19sChIJVx9z0jl8skUR7HOqOeYlVE4,Detroit Commercial Cleaners,5.0,12,Cleaners,,,https://www.commercialcleaningservicesdetroit.com/,+1 313-450-9385,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipO_REUducF7wYoy3l49RgkCnYkai0199i-93Ec=w408-h245-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,8 am–7 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:27.425Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Detroit+Athletic+Club/data=!4m7!3m6!1s0x883b2d327082873f:0x792d2b426ac6ea95!8m2!3d42.337578!4d-83.0473303!16s%2Fm%2F027fn1_!19sChIJP4eCcDItO4gRlerGakIrLXk,Detroit Athletic Club,4.8,896,Athletic club,"241 Madison St, Detroit, MI 48226, United States","8XQ3+23 Detroit, Michigan, USA",http://www.thedac.com/,+1 313-963-9200,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSymalEIYaAam2DciiEuYxtr_LF5FmpjTk2INttRkaYz_yZy2IX-BCB8KjCitXILwUlAVI-v5AbiPStQwHScnox4Tvm82NR0b29Qt1HZoO-hXS8QR-QZr6oFQZ5xOOlTF_He3hGg=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:31.008Z,,,
https://www.google.com/maps/place/Detroit+Perfect+Landscaping/data=!4m7!3m6!1s0x883b2db696b69463:0xca4ae4630ab257a5!8m2!3d42.3306498!4d-83.0453463!16s%2Fg%2F11m68nn1tl!19sChIJY5S2lrYtO4gRpVeyCmPkSso,Detroit Perfect Landscaping,5.0,33,Landscaper,"608 Woodward Ave, Detroit, MI 48226, United States","8XJ3+7V Detroit, Michigan, USA",https://www.detroitperfectlandscapingcompany.com/,+1 313-631-3375,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipO8wXeD2WzW3w8rB_C47lhLIxH11MusZ7G_qP9n=w408-h408-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:36.400Z,,true,
https://www.google.com/maps/place/Coleman+A.+Young+Community+Center/data=!4m7!3m6!1s0x8824d331d02df1e1:0x74d558b86d7bc8a8!8m2!3d42.3461111!4d-83.0247222!16s%2Fg%2F1tgnmpwb!19sChIJ4fEt0DHTJIgRqMh7bbhY1XQ,Coleman A. Young Community Center,4.3,252,Community center,"2751 Robert Bradby Dr, Detroit, MI 48207, United States","8XWG+C4 Detroit, Michigan, USA",https://detroitmi.gov/departments/detroit-parks-recreation/recreation-centers/coleman-young-community-center,+1 313-628-0995,"Open ⋅ Closes 9 pm

Updated by phone call 4 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw9hTv5LBZogMPqQO1SH0_elLcGA7Led-0G4rGdaaKhaxn3r9jLmtteHD8goQ7ohN5hto1TaO3QM4iAd39oVZqj-E_VckieyAnp2WNYy6Icbul35CgsxJJUsuHIXIEzaUgkcuNS=w440-h240-k-no,true,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:42.114Z,,,
https://www.google.com/maps/place/The+Westin+Book+Cadillac+Detroit/data=!4m10!3m9!1s0x883b2d309588474d:0x40fb8ced901a712f!5m2!4m1!1i2!8m2!3d42.3321085!4d-83.0502136!16zL20vMGZqZDJq!19sChIJTUeIlTAtO4gRL3EakO2M-0A,The Westin Book Cadillac Detroit,4.4,3509,,"1114 Washington Blvd, Detroit, MI 48226, United States","8WJX+RW Detroit, Michigan, USA",https://www.marriott.com/en-us/hotels/dtwcw-the-westin-book-cadillac-detroit/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+1 313-442-1600,,https://lh3.googleusercontent.com/p/AF1QipO66WBgVPOpeuRCHmaML7i50F0beQe9NLaGu6Vc=w408-h612-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:45.851Z,,,
https://www.google.com/maps/place/Aqua+Master+Pools/data=!4m7!3m6!1s0x160e3f4c5db1141:0x420c05cca1ffb8c3!8m2!3d42.3026922!4d-82.9676732!16s%2Fg%2F11k3_w6sdl!19sChIJQRHbxfTjYAERw7j_ocwFDEI,Aqua Master Pools,5.0,92,Swimming pool repair service,"2521 Ellrose Ave, Windsor, ON N8W 5E8, Canada","823J+3W Windsor, Ontario, Canada",http://www.aquamasterpools.ca/,+1 519-919-9338,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOdG_ugf5AvfEcGMFyrw6iYqRaSBpuSOSG6tX0J=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:50.826Z,,,
https://www.google.com/maps/place/Hotel+Indigo+Detroit+Downtown+by+IHG/data=!4m10!3m9!1s0x883b2d3099966a4b:0xf3c4124721bee2c6!5m2!4m1!1i2!8m2!3d42.3313963!4d-83.0505586!16s%2Fg%2F1ydp2p8ln!19sChIJS2qWmTAtO4gRxuK-IUcSxPM,Hotel Indigo Detroit Downtown by IHG,3.8,2641,,"1020 Washington Blvd, Detroit, MI 48226, United States","8WJX+HQ Detroit, Michigan, USA",https://www.ihg.com/hotelindigo/hotels/us/en/detroit/dttwb/hoteldetail?cm_mmc=GoogleMaps-_-IN-_-US-_-DTTWB,+1 313-887-7000,,https://lh3.googleusercontent.com/p/AF1QipMkCyrLH28l82_Lw73QM1Esxk6ZK0FAQZCEz9fy=w408-h271-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:54.421Z,,,
https://www.google.com/maps/place/The+Detroit+Club/data=!4m10!3m9!1s0x883b2d989ffc519b:0x5c4482018cda7193!5m2!4m1!1i2!8m2!3d42.3295901!4d-83.0507039!16s%2Fg%2F11mxs7j4t7!19sChIJm1H8n5gtO4gRk3HajAGCRFw,The Detroit Club,4.4,212,,"712 Cass Ave, Detroit, MI 48226, United States","8WHX+RP Detroit, Michigan, USA",https://www.thedetroitclub.com/,+1 313-338-3222,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEHkVlQZ8lr55TLDmyep4_QpVWek0iX8o1fyfx0LV4BwvKhDeECZcNW2SrmvQ9yTnNUIIHcnOy2Z1uv1W91E6OEmC892Q5PJ_D73YhFmluiDPq8Hk0lb8mWyfVbukg7WqAIpUwD_zKn8Qv9truVx0FOPJyU2j_pJTguSUVUhqKulEDQXlA8xaTU=w408-h326-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:40:58.040Z,,,
https://www.google.com/maps/place/Fort+Pontchartrain+a+Wyndham+Hotel/data=!4m10!3m9!1s0x883b2d3b1846961f:0xcb7d6ba50bb7f844!5m2!4m1!1i2!8m2!3d42.328061!4d-83.047581!16s%2Fm%2F02v_18v!19sChIJH5ZGGDstO4gRRPi3C6Vrfcs,Fort Pontchartrain a Wyndham Hotel,4.3,6147,,"2 Washington Blvd, Detroit, MI 48226, United States","8XH2+6X Detroit, Michigan, USA",https://fpwyndham.com/,+1 313-965-0200,,https://lh3.googleusercontent.com/p/AF1QipM8fvvT29z1YoFKxgNqLj2WPFwQfVFbRKj1qij4=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:41:01.390Z,,,
https://www.google.com/maps/place/Downriver+Pool+Service/data=!4m7!3m6!1s0x883b4db839f1c90f:0x86bf9a8584daa69d!8m2!3d42.3036526!4d-83.3906611!16s%2Fg%2F1tmkln4p!19sChIJD8nxObhNO4gRnabahIWav4Y,Downriver Pool Service,4.8,56,Swimming pool contractor,"35585 Florane St, Westland, MI 48186, United States","8J35+FP Westland, Michigan, USA",http://www.downriverpoolservice.com/,+1 734-729-3164,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPQBhw_SPRn9XhQcH_mClM1XHwUZPs9HQfZ1F_v=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–4 pm,10 am–3 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:41:06.539Z,,,
https://www.google.com/maps/place/Pools+by+Angelo/data=!4m7!3m6!1s0x883b2afea95c0347:0x45c7819912ac165c!8m2!3d42.2997607!4d-82.9447289!16s%2Fg%2F1tg_b4k4!19sChIJRwNcqf4qO4gRXBasEpmBx0U,Pools by Angelo,4.6,239,Swimming pool supply store,"2950 Jefferson Blvd, Windsor, ON N8T 3J2, Canada","73X4+W4 Windsor, Ontario, Canada",http://www.poolsbyangelo.com/,+1 519-945-1179,"Open ⋅ Closes 5 pm

Updated by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMEwMeFavudKYAm__pQcv4G_gWY7lGdb0epQcQZ=w408-h289-k-no,true,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:41:11.885Z,,,· In-store pick-up · Delivery
https://www.google.com/maps/place/American+Pool+Services/data=!4m7!3m6!1s0x8824b612cbb8ac89:0x1fa3e77ae83b64b5!8m2!3d42.4434801!4d-83.2717481!16s%2Fg%2F1tkbyvgs!19sChIJiay4yxK2JIgRtWQ76Hrnox8,American Pool Services,3.6,75,Swimming pool contractor,"23100 Eight Mile W, Southfield, MI 48033, United States","CPVH+98 Southfield, Michigan, USA",http://www.americanpoolsvcmi.com/,+1 248-352-9006,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzzSiod6bXLn0Gv4d4L0HsWGoKxF8eilozsIwIrewg2l_gFvBRN-lgner966feBX5bBsMnPTcQwL31vYQQsYIyZVncvEIYn-QMFG-RVQ7pbGewfNe-QZAFeIEjz_4n2Mi-2BtJSYVelFp-D=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-10-27T17:41:17.115Z,,,
