placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/MidSouth+Interventional+Pain+Institute/data=!4m7!3m6!1s0x887f9b9a6bcd5477:0x341061e752c5373a!8m2!3d35.1118699!4d-89.8048553!16s%2Fg%2F11c6165x3x!19sChIJd1TNa5qbf4gROjfFUudhEDQ,MidSouth Interventional Pain Institute,4.7,216,Surgical center,"1365 W Brierbrook Rd, Germantown, TN 38138, United States","456W+P3 Germantown, Tennessee, USA",https://midsouthpain.com/,+1 901-531-8549,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipN3tUNG_9UhEL8DdBop6s9-gBxixwsfcXUjkzkd=w408-h356-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:17:21.041Z,,,
https://www.google.com/maps/place/Steuer+Michael+E+MD/data=!4m7!3m6!1s0x887f9b9a6bcd5477:0x9e096495ebc222fd!8m2!3d35.1118814!4d-89.8048693!16s%2Fg%2F1vcq8bv6!19sChIJd1TNa5qbf4gR_SLC65VkCZ4,Steuer Michael E MD,4.9,184,Pain management physician,"1365 W Brierbrook Rd, Germantown, TN 38138, United States","456W+Q3 Germantown, Tennessee, USA",http://www.midsouthpain.com/,+1 901-751-4112,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepu7W2jANl0_BYZSgJf2HPf3WZdDDIFDEkDkwJVPj2_TzW8RWxb6Ii6Bp06aGMH38l24swSSX111rf_oiEFJLSZ9Ch1Txtj6G4HmiUOr1jNbEOpYAnw2J9aAicipqPVlYJnRtkM=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:17:27.101Z,,,
https://www.google.com/maps/place/Mays+%26+Schnapp+Neurospine+and+Pain/data=!4m7!3m6!1s0x887f8357aec9f549:0xe2dc0dce740bdef7!8m2!3d35.1290261!4d-89.8580249!16s%2Fg%2F1tvtc2wl!19sChIJSfXJrleDf4gR994LdM4N3OI,Mays & Schnapp Neurospine and Pain,4.6,788,Surgical center,"55 Humphreys Center Suite 200, Memphis, TN 38120, United States","44HR+JQ Memphis, Tennessee, USA",https://www.maysandschnapp.com/location/pain-management-specialists-memphis-tn/,+1 901-747-0040,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipPqyiL_7GDsSfWUPnSUxDbzUauwEKq_wNdmPf_o=w408-h540-k-no,true,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:17:31.966Z,,,
https://www.google.com/maps/place/Southern+VIP+Memphis/data=!4m7!3m6!1s0x887f857057193eeb:0x9d8a61b5c87b63f7!8m2!3d35.1015625!4d-89.8721618!16s%2Fg%2F11gvrlnj_4!19sChIJ6z4ZV3CFf4gR92N7yLVhip0,Southern VIP Memphis,4.8,504,Medical clinic,"5683 S Rex Rd, Memphis, TN 38119, United States","442H+J4 Memphis, Tennessee, USA",https://southernvip.com/,+1 901-350-0678,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipPkgNCZMBMZHeDTdX069_bQgwx9-tXf6dTjD54A=w408-h272-k-no,true,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,Closed,Closed,Closed,7:30 am–5:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:17:36.981Z,,,
"https://www.google.com/maps/place/Dr.+Philip+E.+Green,+MD/data=!4m7!3m6!1s0x887f84c449d5519d:0xc1a80abca9b449f4!8m2!3d35.0646755!4d-89.7541833!16s%2Fg%2F1tfdzm6f!19sChIJnVHVScSEf4gR9Em0qbwKqME","Dr. Philip E. Green, MD",4.4,13,Pain management physician,"3087 Professional Plaza Dr, Germantown, TN 38138, United States","367W+V8 Germantown, Tennessee, USA",,+1 901-761-0800,Open · Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qLBi99MD6i6-FiSsythtWg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=313.1792&pitch=0&thumbfov=100,true,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:17:41.830Z,,,
https://www.google.com/maps/place/MidSouth+Pain+Treatment+Center/data=!4m7!3m6!1s0x887f9b8a788d8b55:0x9e7be9d95defa6b9!8m2!3d35.126552!4d-89.7971805!16s%2Fg%2F11b70sngfw!19sChIJVYuNeIqbf4gRuabvXdnpe54,MidSouth Pain Treatment Center,4.3,825,Pain management physician,"146 Timber Creek Dr Suite 200, Cordova, TN 38018, United States","46G3+J4 Cordova, Memphis, TN, USA",https://midsouthpain.com/,+1 901-245-2904,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOjf2xiIptSHHSIA0qMfpBnIoPwnhxY5bMQqEB-=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:17:46.857Z,,,
"https://www.google.com/maps/place/Dr.+Stephen+L.+Gipson,+MD/data=!4m7!3m6!1s0x887f84c449d5519d:0x33e65cf513ba73a1!8m2!3d35.0977274!4d-89.8631845!16s%2Fg%2F1tk23pty!19sChIJnVHVScSEf4gRoXO6E_Vc5jM","Dr. Stephen L. Gipson, MD",4.7,40,Pain management physician,"6005 Park Ave # 400, Memphis, TN 38119, United States","34XP+3P Memphis, Tennessee, USA",,+1 901-767-9500,Open · Closes 5:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CSZ23SbyTNrPtunjupTDbQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.35153&pitch=0&thumbfov=100,false,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:17:51.757Z,,,
"https://www.google.com/maps/place/Dr.+Moacir+Schnapp,+MD/data=!4m7!3m6!1s0x887f8357aec9f549:0x884e3297b5139726!8m2!3d35.129181!4d-89.857893!16s%2Fg%2F1td0nsl0!19sChIJSfXJrleDf4gRJpcTtZcyTog","Dr. Moacir Schnapp, MD",4.8,29,Pain management physician,"55 Humphreys Center Suite 200, Memphis, TN 38120, United States","44HR+MR Memphis, Tennessee, USA",https://www.maysandschnapp.com/provider/dr-moacir-schnapp/,+1 901-747-0040,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipN-oB-j6Q7bYP9ckZYthJxSgG_7b52X1c3h-Vht=w507-h240-k-no,true,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:17:56.628Z,,,
https://www.google.com/maps/place/Regional+One+Health+Pain+Management/data=!4m7!3m6!1s0x887f9b8d5044011d:0xba05a91390b1c736!8m2!3d35.0684078!4d-89.8445663!16s%2Fg%2F11h2dk5y8j!19sChIJHQFEUI2bf4gRNsexkBOpBbo,Regional One Health Pain Management,5.0,2,Rehabilitation center,"6555 Quince Rd, Memphis, TN 38119, United States","3594+95 Memphis, Tennessee, USA",https://www.regionalonehealth.org/regional-one-health-center-rehabilitative-medicine/painmanagement/,+1 901-545-7246,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uJKFVh608PNZ4HX3s7jXlg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=211.67238&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:17:59.228Z,,,
"https://www.google.com/maps/place/Steven+Richey,+M.D./data=!4m7!3m6!1s0x887f9b32aaf6504b:0x55a1715de0b11932!8m2!3d35.1119077!4d-89.8048886!16s%2Fg%2F11jp7jt0f6!19sChIJS1D2qjKbf4gRMhmx4F1xoVU","Steven Richey, M.D.",5.0,1,Pain management physician,"1365 W Brierbrook Rd, Germantown, TN 38138, United States","456W+Q2 Germantown, Tennessee, USA",http://www.midsouthpain.com/,+1 901-531-8549,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1uXLKNqy0slPMvwrPvXkLw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=277.4299&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2026-01-28T21:18:03.955Z,,,
